10381_at,1809_at,196051_at,221303_at,2353_at,23670_at,26090_at,26157_at,29091_at,29968_at,306_at,3113_at,3117_at,388650_at,400566_at,4060_at,4100_at,445_at,4683_at,54504_at,54674_at,54847_at,5744_at,60681_at,6304_at,64798_at,6591_at,6595_at,666_at,7079_at,7503_at,80321_at,81611_at,84870_at,8572_at,9060_at,9411_at,9446_at,9568_at,9603_at,label
7.69,3.89,4.20,4.59,9.69,8.09,8.74,7.35,4.04,10.48,10.36,9.25,4.88,8.14,6.02,6.79,4.65,13.06,9.41,8.43,4.17,6.43,9.69,5.02,5.36,4.71,10.93,7.68,7.68,4.18,3.90,8.70,10.00,3.78,8.03,5.92,10.25,11.84,4.23,7.76,0.00
10.07,5.85,5.22,4.56,6.13,8.98,9.15,3.55,5.38,10.82,6.41,3.99,3.75,5.37,6.58,8.12,5.21,6.16,9.91,9.90,4.17,5.96,4.80,6.32,4.35,6.81,8.48,5.75,7.93,6.48,3.74,8.06,10.44,3.54,6.17,9.45,8.79,11.75,4.09,8.74,0.00
6.28,4.21,4.13,4.53,9.66,8.25,9.09,4.20,7.61,11.48,7.28,4.05,3.97,8.11,8.95,3.15,4.17,11.46,9.05,3.98,4.17,4.02,3.99,4.97,5.89,9.34,4.65,6.42,7.70,6.39,3.89,9.41,11.17,3.61,3.95,10.51,7.09,11.94,4.19,7.61,0.00
8.99,8.24,5.10,4.35,4.39,8.68,7.83,6.09,3.89,10.90,5.37,4.23,3.61,6.98,7.57,12.93,3.86,12.41,8.91,4.71,6.47,4.04,3.92,8.27,6.51,5.35,10.60,7.17,8.24,3.99,3.80,6.66,10.97,3.83,7.73,5.96,8.57,11.76,4.09,5.89,0.00
6.57,4.14,4.02,4.48,4.14,8.60,7.56,8.78,8.25,8.61,8.37,4.31,3.85,3.91,5.65,3.52,3.94,5.63,9.90,10.69,3.93,5.91,3.86,4.74,8.26,11.34,4.52,8.85,3.97,3.70,3.77,8.65,10.52,3.74,3.83,7.68,4.63,11.64,4.08,5.69,1.00
9.79,5.18,4.16,4.40,7.36,8.75,9.56,8.50,4.18,9.81,12.48,4.34,3.95,6.89,6.59,3.46,4.14,9.69,9.48,5.11,4.07,4.43,3.88,4.96,7.01,6.23,4.78,7.31,7.29,6.11,3.82,7.78,9.77,3.95,3.88,4.73,6.47,12.28,4.49,6.53,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.76,4.16,5.82,4.40,9.08,8.13,9.07,4.77,5.97,10.08,3.84,5.00,3.91,8.74,8.02,9.91,4.87,5.34,8.82,10.41,4.09,4.53,3.81,7.21,8.26,5.72,10.92,7.37,4.92,3.75,8.49,8.33,10.15,3.66,4.00,9.16,10.42,13.00,5.19,6.14,0.00
10.62,5.03,10.13,4.11,11.46,8.30,9.58,5.06,8.17,10.38,12.19,13.19,4.28,6.98,7.69,7.23,5.16,10.13,8.56,9.09,4.06,3.97,4.65,4.25,8.65,7.65,9.13,7.07,7.71,3.58,3.70,8.68,10.29,8.03,4.04,10.90,10.86,12.28,4.06,6.86,0.00
7.64,3.92,4.26,4.34,9.30,7.06,8.88,6.42,7.83,9.50,12.76,6.38,3.79,7.52,8.40,3.30,9.91,12.52,9.05,9.87,4.04,4.49,4.35,6.81,8.95,6.86,5.62,7.48,8.12,3.98,3.83,8.01,9.29,4.00,8.98,7.42,12.10,11.93,4.29,7.97,0.00
9.63,10.12,4.47,4.55,9.84,7.20,8.66,5.51,4.22,9.59,12.06,8.66,4.44,5.72,5.38,3.39,4.60,10.23,9.25,10.50,3.85,3.77,3.98,4.75,6.40,7.97,7.39,7.65,7.19,3.89,3.73,7.29,10.21,4.31,8.38,7.68,12.08,11.63,4.08,7.98,0.00
8.01,9.79,5.74,4.96,8.26,7.79,7.42,6.93,5.11,10.38,7.36,7.06,4.04,9.10,8.21,5.55,5.76,9.75,9.69,9.04,9.01,4.09,10.49,5.59,7.27,4.62,11.25,8.47,5.51,4.34,3.70,8.18,11.85,4.17,9.01,7.39,11.66,11.11,4.10,10.16,0.00
9.73,4.17,4.13,4.20,7.80,9.73,7.52,7.03,4.15,11.77,12.76,12.17,3.99,6.87,6.59,3.29,4.08,5.94,9.33,4.42,4.03,4.45,5.66,4.66,7.66,4.94,5.28,8.11,4.29,3.72,3.94,7.85,10.63,4.00,4.18,4.16,9.33,13.11,4.11,6.03,1.00
11.51,4.33,4.91,4.91,5.80,5.13,7.12,4.55,4.32,10.46,4.37,12.24,8.02,9.05,7.66,3.37,4.44,5.53,9.22,4.14,4.15,5.26,3.95,5.20,8.29,9.31,4.30,9.14,4.38,4.11,3.96,7.94,11.23,4.02,4.38,4.36,4.72,11.26,4.26,6.05,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.91,6.59,3.96,4.32,6.03,8.33,9.13,7.56,7.67,10.16,10.11,10.06,4.05,7.10,7.44,3.51,6.04,10.80,9.66,4.19,4.22,6.63,3.94,6.59,10.05,8.61,4.60,7.38,7.90,7.50,3.86,7.74,10.53,4.05,3.94,5.58,7.52,11.45,4.25,8.23,0.00
8.37,3.99,5.65,4.38,9.17,8.87,8.49,6.33,3.90,10.09,12.70,4.17,3.83,6.11,7.82,3.50,4.31,7.07,10.26,4.48,4.19,6.31,5.63,4.81,6.57,4.77,9.65,6.15,7.25,3.57,3.82,8.34,10.13,3.83,4.19,4.62,10.90,12.57,4.09,8.62,1.00
10.19,4.19,4.26,4.42,7.78,7.94,9.56,4.17,4.17,11.90,12.53,5.37,4.04,7.49,7.03,3.71,4.01,11.36,10.26,10.67,4.22,3.94,3.94,6.17,4.49,7.04,8.25,6.21,7.20,4.63,3.91,7.57,10.62,3.89,4.01,7.83,12.82,11.67,4.86,7.18,0.00
9.14,7.95,4.35,4.28,9.18,8.87,9.40,5.28,6.55,10.92,11.43,5.69,3.74,8.36,7.68,6.21,4.02,11.51,8.49,9.41,4.21,3.82,4.42,7.15,4.58,6.12,9.95,5.39,7.86,6.03,9.03,8.68,10.33,3.90,6.75,7.47,12.13,11.79,4.46,8.25,0.00
5.79,4.07,4.26,4.43,5.04,5.30,7.71,8.47,3.89,9.64,10.26,3.98,3.93,7.08,6.38,3.34,3.75,11.33,10.40,3.88,4.16,5.51,3.92,4.69,11.38,6.58,4.78,9.57,4.50,3.72,3.86,7.93,11.02,4.18,4.13,5.79,4.62,12.06,4.19,4.64,1.00
