1004_at,10439_at,10788_at,10855_at,11098_at,13_at,1728_at,1780_at,202374_at,22835_at,2919_at,341_at,3676_at,389421_at,4050_at,4734_at,4879_at,51186_at,5142_at,51599_at,5176_at,5321_at,55510_at,57194_at,57464_at,6275_at,6876_at,7852_at,83871_at,9071_at,label
8.52,3.69,7.10,7.77,10.60,8.26,11.06,5.92,3.60,10.29,10.83,5.98,8.17,6.74,5.30,7.85,3.95,11.96,4.97,7.97,3.61,4.74,3.78,4.87,6.52,12.08,7.29,7.29,10.50,6.64,0.00
3.84,4.20,5.91,4.34,8.39,3.75,9.41,4.93,3.32,4.82,4.15,6.71,6.72,4.29,4.83,8.35,3.82,11.15,7.17,4.31,4.40,11.23,3.77,4.58,10.49,11.19,4.68,4.43,4.33,4.05,1.00
3.97,8.97,7.77,5.43,5.99,3.75,9.68,4.58,4.00,9.99,3.87,5.78,3.67,5.40,4.53,7.29,4.29,12.98,4.14,6.14,5.46,3.90,7.61,4.29,5.27,5.64,4.93,4.67,10.09,6.65,0.00
4.11,4.17,9.97,5.78,4.58,3.76,5.82,4.65,3.68,7.88,4.63,6.08,8.34,4.13,7.69,6.82,3.76,4.28,6.40,7.62,9.15,3.66,6.62,4.49,6.44,6.21,4.49,11.56,7.89,4.12,1.00
3.83,4.88,6.02,7.81,11.60,3.62,12.92,4.85,4.46,8.19,7.83,9.67,3.68,3.44,5.77,10.42,4.17,11.26,5.02,9.27,4.34,4.13,9.22,9.27,8.26,7.97,11.01,4.70,11.38,4.66,1.00
3.76,4.24,9.99,9.16,8.83,3.92,11.92,4.77,3.19,5.74,10.76,8.36,3.96,6.91,4.86,7.43,3.94,10.89,6.37,10.36,4.66,8.47,3.96,4.31,6.66,11.41,4.61,4.08,9.06,4.18,1.00
4.11,4.14,10.28,5.13,4.89,3.83,6.13,4.37,3.67,7.49,4.23,5.84,8.68,6.61,10.63,6.03,4.10,3.81,8.02,4.58,4.76,4.14,3.50,4.70,4.79,7.89,5.16,10.35,4.14,4.50,0.00
4.15,4.35,10.42,4.70,4.84,4.25,6.04,3.91,3.42,8.16,4.46,4.90,8.98,10.43,10.74,6.20,3.95,4.32,8.85,3.98,4.37,3.76,3.86,4.84,5.11,6.09,5.63,11.21,4.30,4.48,0.00
6.10,4.19,4.43,5.91,9.72,4.29,10.15,4.63,3.53,8.05,12.15,10.48,3.97,6.41,7.61,7.24,4.92,11.45,4.65,9.43,4.79,4.36,3.56,7.31,5.22,8.99,10.81,6.10,11.15,4.74,0.00
10.33,4.01,5.31,6.22,8.58,6.60,10.88,6.57,4.25,9.07,13.10,7.31,3.64,3.81,6.92,7.94,3.80,11.70,4.75,8.51,5.81,3.72,3.63,5.09,4.08,10.03,12.87,4.57,11.49,7.18,0.00
3.98,3.84,10.44,6.57,4.36,3.92,7.02,4.38,3.31,8.02,6.08,7.06,9.84,6.60,4.46,8.61,3.89,3.70,7.09,3.78,4.09,8.09,3.93,4.60,4.98,10.59,4.63,9.61,10.91,7.03,1.00
3.92,5.93,5.75,6.33,8.50,7.44,12.72,5.58,3.43,7.14,8.16,6.77,3.90,4.09,4.78,7.47,4.32,10.76,4.34,9.07,7.97,6.40,4.03,4.51,6.04,8.40,5.09,4.25,10.82,4.33,1.00
3.92,4.02,11.74,5.03,7.73,3.86,13.05,4.82,3.76,8.23,5.49,14.15,3.92,3.78,10.66,6.23,4.74,12.74,4.48,8.87,13.22,3.43,4.00,4.61,6.00,7.39,4.96,4.37,11.06,4.23,1.00
4.83,8.21,6.29,6.01,9.88,3.78,10.08,4.74,3.39,8.20,6.34,9.06,3.55,9.67,9.11,5.04,4.36,12.13,6.01,8.63,5.32,4.99,3.68,4.43,4.34,12.84,11.68,4.36,10.17,5.24,0.00
4.29,5.55,11.54,5.10,8.94,3.90,11.07,4.44,3.59,9.01,4.27,13.02,4.22,12.16,5.15,7.39,4.01,11.77,4.21,8.14,11.31,4.11,3.81,8.20,8.44,12.39,11.58,4.20,11.12,4.26,1.00
3.95,5.01,4.49,4.93,12.42,4.18,11.92,4.46,3.49,8.63,4.13,9.36,3.72,4.00,4.62,7.41,3.99,11.56,4.72,7.91,8.29,6.32,3.55,5.03,5.43,13.90,13.61,4.45,11.78,4.30,1.00
6.71,8.53,9.23,8.75,11.56,3.69,8.54,8.52,3.44,8.42,3.69,4.76,6.12,3.51,4.53,8.71,4.84,12.00,6.20,5.45,5.67,4.64,3.64,4.60,5.97,8.62,5.91,6.95,11.95,5.89,0.00
5.61,3.73,6.26,7.24,9.87,3.76,8.73,6.18,3.73,5.07,6.94,10.73,3.98,10.43,5.80,6.80,4.10,11.45,6.49,8.72,5.30,5.58,3.64,4.31,4.91,8.22,5.34,4.14,10.15,6.14,0.00
3.93,4.09,6.12,5.34,6.39,3.73,11.60,5.11,3.35,8.12,4.47,6.16,3.71,4.29,6.27,5.86,4.46,12.34,7.32,9.79,4.26,6.43,4.04,4.94,5.69,8.37,6.22,10.45,8.07,4.20,0.00
4.00,4.89,8.51,7.05,10.94,4.12,12.43,4.71,3.33,7.87,4.66,4.79,4.06,3.92,4.51,7.32,4.08,3.98,6.30,10.11,5.38,6.62,3.66,4.46,5.87,8.57,8.77,4.25,4.56,4.26,1.00
