1004_at,10855_at,11098_at,13_at,1728_at,202374_at,22835_at,4734_at,4879_at,51186_at,5176_at,5321_at,6876_at,9071_at,label
7.84,7.40,9.96,4.08,9.57,3.51,6.46,5.05,6.24,12.34,4.04,8.60,12.76,6.03,0.00
8.52,7.77,10.60,8.26,11.06,3.60,10.29,7.85,3.95,11.96,3.61,4.74,7.29,6.64,0.00
3.84,4.34,8.39,3.75,9.41,3.32,4.82,8.35,3.82,11.15,4.40,11.23,4.68,4.05,1.00
3.97,5.43,5.99,3.75,9.68,4.00,9.99,7.29,4.29,12.98,5.46,3.90,4.93,6.65,0.00
4.11,5.78,4.58,3.76,5.82,3.68,7.88,6.82,3.76,4.28,9.15,3.66,4.49,4.12,1.00
3.83,7.81,11.60,3.62,12.92,4.46,8.19,10.42,4.17,11.26,4.34,4.13,11.01,4.66,1.00
3.76,9.16,8.83,3.92,11.92,3.19,5.74,7.43,3.94,10.89,4.66,8.47,4.61,4.18,1.00
4.11,5.13,4.89,3.83,6.13,3.67,7.49,6.03,4.10,3.81,4.76,4.14,5.16,4.50,0.00
4.15,4.70,4.84,4.25,6.04,3.42,8.16,6.20,3.95,4.32,4.37,3.76,5.63,4.48,0.00
6.10,5.91,9.72,4.29,10.15,3.53,8.05,7.24,4.92,11.45,4.79,4.36,10.81,4.74,0.00
10.33,6.22,8.58,6.60,10.88,4.25,9.07,7.94,3.80,11.70,5.81,3.72,12.87,7.18,0.00
3.98,6.57,4.36,3.92,7.02,3.31,8.02,8.61,3.89,3.70,4.09,8.09,4.63,7.03,1.00
3.92,6.33,8.50,7.44,12.72,3.43,7.14,7.47,4.32,10.76,7.97,6.40,5.09,4.33,1.00
3.92,5.03,7.73,3.86,13.05,3.76,8.23,6.23,4.74,12.74,13.22,3.43,4.96,4.23,1.00
4.83,6.01,9.88,3.78,10.08,3.39,8.20,5.04,4.36,12.13,5.32,4.99,11.68,5.24,0.00
4.29,5.10,8.94,3.90,11.07,3.59,9.01,7.39,4.01,11.77,11.31,4.11,11.58,4.26,1.00
3.95,4.93,12.42,4.18,11.92,3.49,8.63,7.41,3.99,11.56,8.29,6.32,13.61,4.30,1.00
6.71,8.75,11.56,3.69,8.54,3.44,8.42,8.71,4.84,12.00,5.67,4.64,5.91,5.89,0.00
5.61,7.24,9.87,3.76,8.73,3.73,5.07,6.80,4.10,11.45,5.30,5.58,5.34,6.14,0.00
3.93,5.34,6.39,3.73,11.60,3.35,8.12,5.86,4.46,12.34,4.26,6.43,6.22,4.20,0.00
4.00,7.05,10.94,4.12,12.43,3.33,7.87,7.32,4.08,3.98,5.38,6.62,8.77,4.26,1.00
3.96,6.04,10.20,4.11,12.03,4.06,8.20,8.20,3.87,10.70,4.78,11.40,4.52,4.02,1.00
4.02,7.20,10.18,6.87,12.42,3.46,4.95,7.54,4.43,11.17,5.03,8.31,8.35,4.60,1.00
3.93,6.09,12.11,4.12,11.35,3.49,7.26,7.12,4.04,10.31,7.29,3.56,7.92,4.34,0.00
3.81,7.93,9.52,4.18,9.67,7.09,8.09,7.43,4.20,11.38,4.68,6.68,8.79,4.23,0.00
3.67,7.85,11.42,3.84,11.34,3.39,6.40,6.91,3.76,11.89,4.47,7.54,8.35,5.92,1.00
4.24,7.42,11.60,3.95,12.12,3.58,4.90,7.82,5.35,4.07,4.78,3.45,8.50,4.52,1.00
3.84,7.59,11.84,4.00,8.16,3.48,4.85,6.81,7.57,11.90,4.55,3.52,5.37,4.19,0.00
3.94,6.95,7.17,3.77,7.06,3.85,7.45,8.35,4.01,11.54,5.71,9.67,4.85,8.20,0.00
3.82,4.18,4.89,5.60,12.64,3.15,8.25,7.38,4.52,10.60,12.93,3.86,9.20,4.22,1.00
4.10,5.07,4.66,3.93,6.84,3.65,5.68,3.58,4.29,4.35,4.83,4.39,5.05,3.96,0.00
3.82,5.58,13.27,3.69,11.23,3.97,6.25,10.19,5.14,12.15,4.87,5.01,5.47,4.44,0.00
3.74,7.59,5.28,8.89,11.75,3.94,7.80,7.61,3.90,12.40,4.01,8.63,5.14,3.91,1.00
8.31,6.78,11.79,4.09,12.05,3.51,7.59,8.66,3.89,12.32,4.47,8.61,9.75,4.09,1.00
9.08,4.70,12.11,4.34,11.42,3.53,7.57,7.35,4.06,12.24,9.51,6.18,13.93,4.18,0.00
7.17,4.50,10.99,4.01,11.98,3.69,7.46,8.35,4.01,12.38,9.63,5.80,13.41,4.08,1.00
5.94,6.33,9.56,3.96,12.35,3.48,7.62,7.53,3.81,13.00,7.81,9.76,4.64,4.17,1.00
5.27,7.03,11.81,3.86,13.14,3.76,7.52,7.59,4.02,11.88,4.33,10.03,9.95,4.01,1.00
3.95,6.82,11.75,3.72,10.35,3.79,7.74,7.55,6.53,11.18,4.61,7.36,5.47,3.87,0.00
4.02,5.97,12.44,3.90,12.57,4.96,7.53,7.92,4.10,11.36,5.54,8.56,6.78,4.04,1.00
4.13,5.77,7.51,7.22,12.45,3.73,4.81,6.44,4.41,10.81,4.39,9.21,6.34,4.25,1.00
4.15,5.02,4.69,4.03,7.34,3.55,8.29,5.58,4.18,3.89,7.09,3.94,5.50,4.16,1.00
4.65,8.74,9.15,3.98,10.41,4.15,7.39,6.56,4.29,11.38,4.84,7.54,4.53,4.48,0.00
3.79,6.73,10.36,4.81,12.43,3.37,6.75,7.60,4.35,10.42,8.18,7.29,4.28,4.30,1.00
4.09,5.70,11.21,4.03,8.35,6.22,8.65,8.50,3.96,11.25,6.92,5.88,8.78,4.44,0.00
4.05,5.82,11.30,4.10,13.45,3.20,8.18,8.16,4.01,11.85,4.42,6.84,7.27,3.89,0.00
3.86,9.53,7.40,7.25,11.75,3.25,4.98,6.52,3.88,9.98,3.77,10.76,4.83,4.23,1.00
3.98,4.82,4.53,3.59,7.29,3.39,8.99,6.47,3.95,10.73,10.17,3.45,4.67,5.94,0.00
8.25,8.75,8.10,3.91,11.58,3.27,8.39,6.25,3.98,11.52,5.36,9.26,10.47,4.09,1.00
4.30,5.70,11.26,3.74,10.70,3.91,8.23,8.33,12.40,12.31,4.49,4.12,11.84,4.05,0.00
10.60,4.81,10.83,12.55,5.00,3.64,8.62,7.37,3.88,12.27,4.23,6.22,11.13,4.09,0.00
7.17,5.67,12.42,3.83,4.82,3.60,6.70,7.24,4.30,11.31,4.63,7.80,10.44,4.79,0.00
4.07,5.08,9.26,11.96,13.10,3.66,6.60,7.39,4.30,10.24,12.02,3.76,5.12,4.13,1.00
6.89,6.90,12.17,6.89,9.91,5.59,8.12,7.52,4.60,12.06,5.02,8.46,10.85,3.97,0.00
8.45,7.26,10.68,4.15,10.92,3.59,8.41,6.36,4.60,12.39,3.73,5.69,8.34,4.36,0.00
9.51,7.85,11.84,3.79,10.54,3.37,7.83,6.49,4.49,11.27,4.40,4.36,11.76,10.83,0.00
3.91,6.32,6.99,4.25,12.38,3.39,8.62,7.41,3.99,13.03,4.58,3.22,12.20,4.32,1.00
4.05,4.81,4.70,3.98,6.09,3.53,9.32,4.75,4.25,10.00,8.54,3.68,4.92,4.41,0.00
3.74,8.56,9.25,3.62,11.40,3.37,6.91,7.90,4.03,10.92,4.26,6.63,7.61,6.32,1.00
3.90,4.69,4.25,4.31,7.04,3.52,6.41,4.32,3.98,6.41,5.71,3.21,4.92,4.12,1.00
3.90,6.21,4.32,4.17,9.54,3.39,8.43,7.74,4.14,10.25,6.10,3.49,5.28,3.94,1.00
3.83,10.04,5.11,4.02,8.26,3.59,7.60,8.13,3.84,9.07,5.27,9.21,4.43,4.13,1.00
4.35,5.51,5.20,4.01,7.14,3.21,9.35,6.61,4.31,11.37,8.89,3.35,4.30,4.20,0.00
4.13,4.87,6.52,4.32,7.73,3.51,8.42,7.41,4.04,5.88,4.25,9.58,4.93,9.27,0.00
10.24,8.06,10.85,4.67,10.39,4.08,9.65,3.71,5.27,11.66,5.11,6.33,13.64,6.95,0.00
3.88,7.42,9.56,6.41,10.54,5.52,6.77,10.61,3.80,11.82,4.16,7.62,6.68,4.13,1.00
9.37,6.19,11.75,3.45,11.32,3.73,7.39,9.84,4.19,12.23,4.44,3.96,4.85,5.27,0.00
4.00,6.59,4.16,4.02,10.79,3.74,5.73,6.49,3.96,3.79,4.52,7.54,4.76,4.56,1.00
4.12,5.84,4.66,3.47,6.90,3.31,7.34,4.10,4.12,3.93,8.75,3.98,5.36,4.45,1.00
5.75,7.22,13.57,3.81,10.56,3.90,7.72,8.49,4.39,12.22,4.56,3.40,11.28,4.29,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.80,6.01,8.96,10.20,11.81,3.38,4.50,7.57,3.83,11.67,5.19,4.27,5.05,4.83,1.00
4.69,7.23,10.93,3.93,10.82,3.50,7.47,7.79,4.23,11.71,9.87,10.91,12.43,8.01,1.00
11.50,5.69,11.26,3.87,9.59,3.27,4.53,5.60,3.72,11.86,5.04,9.27,12.43,4.04,0.00
3.99,8.44,7.03,4.16,8.80,3.46,8.02,6.44,4.26,12.32,7.83,6.32,5.12,3.98,0.00
3.95,8.28,10.34,4.15,12.24,3.49,5.00,6.08,4.31,11.36,6.42,9.33,5.46,7.19,1.00
3.88,9.04,11.83,4.06,13.45,3.27,6.97,8.93,4.13,12.07,5.86,7.52,8.56,4.43,1.00
