355_at,51226_at,51260_at,5447_at,54495_at,55106_at,5935_at,90488_at,9609_at,label
9.18,5.66,10.08,7.11,8.96,4.77,7.48,11.19,5.17,0.00
7.56,6.59,8.60,7.21,8.84,8.19,7.49,9.65,4.07,1.00
10.09,5.22,9.87,8.63,9.80,6.30,8.11,10.02,4.61,0.00
5.08,5.26,9.04,8.94,9.23,7.88,9.50,10.80,7.96,1.00
9.80,5.09,9.77,8.03,8.90,8.60,8.31,10.17,6.28,1.00
6.49,7.00,9.39,6.33,9.09,7.65,6.41,10.36,4.76,0.00
9.64,7.19,10.49,6.28,9.52,8.10,8.32,10.30,4.50,1.00
8.06,6.34,9.68,7.48,8.59,5.08,9.26,9.90,5.27,0.00
6.82,5.18,10.12,7.55,9.70,8.83,8.48,11.12,4.63,1.00
4.13,8.60,5.97,9.13,9.23,7.68,9.37,10.39,4.78,1.00
5.78,6.64,9.49,6.95,7.71,8.19,8.79,10.44,5.42,1.00
5.67,5.33,10.55,9.98,7.84,6.80,8.85,10.46,4.90,0.00
10.18,10.04,10.18,6.83,9.76,8.65,8.80,11.75,5.52,0.00
8.19,10.49,8.10,7.32,10.33,7.96,7.19,11.34,4.70,0.00
8.06,9.40,9.79,6.89,9.68,8.89,7.84,11.21,5.28,0.00
10.03,8.82,10.57,8.24,8.66,8.12,8.17,10.93,4.36,0.00
10.29,11.01,10.16,5.63,9.95,9.01,8.91,11.96,5.15,0.00
8.29,9.33,9.53,7.99,9.53,7.96,7.64,11.13,5.89,0.00
7.44,8.38,10.80,7.81,9.59,7.87,8.71,10.06,6.14,1.00
8.80,5.76,10.05,7.35,8.27,6.09,8.14,10.35,5.46,1.00
9.50,8.59,10.12,7.25,9.57,7.58,8.03,10.13,5.39,0.00
6.02,6.06,10.10,7.22,9.68,4.68,8.59,9.92,4.85,0.00
9.47,5.61,9.49,9.05,8.97,6.95,8.15,10.24,4.82,0.00
11.03,6.91,10.06,7.54,7.95,11.06,8.22,9.58,5.13,0.00
4.40,9.89,9.70,9.42,9.37,7.81,8.54,10.03,6.79,1.00
9.77,5.65,9.56,9.14,7.90,4.33,9.09,9.45,5.33,0.00
4.83,5.57,9.20,6.46,9.44,4.08,8.14,10.05,5.00,0.00
8.87,6.68,9.86,8.40,10.63,4.34,8.98,11.53,6.55,0.00
7.43,5.38,10.33,6.68,10.12,8.98,7.66,10.81,6.61,1.00
5.64,7.60,10.12,7.84,9.16,8.41,7.99,10.40,4.64,0.00
5.43,5.84,8.44,7.16,9.62,7.81,8.15,10.33,5.06,1.00
4.25,4.59,10.61,9.67,7.49,4.03,8.41,9.30,4.66,0.00
