100652850_at,10161_at,10974_at,116496_at,154_at,1823_at,1960_at,200844_at,2294_at,355_at,3823_at,388692_at,4016_at,49854_at,51226_at,51260_at,5447_at,54495_at,55106_at,55619_at,5588_at,5698_at,57291_at,576_at,5935_at,7068_at,90141_at,90523_at,91607_at,9609_at,label
9.37,6.50,12.51,5.65,5.12,3.83,4.21,4.71,3.93,3.88,3.51,5.44,6.79,9.32,4.51,9.58,8.66,8.78,4.31,3.58,4.03,3.87,9.80,5.09,9.30,8.37,9.79,3.76,3.78,4.48,0.00
8.41,8.06,7.40,9.09,6.82,3.68,5.90,4.27,5.50,8.08,3.76,5.28,8.06,9.05,7.58,9.71,8.64,10.10,7.61,8.02,4.16,7.89,10.66,7.39,8.81,5.51,8.14,3.89,7.12,6.61,1.00
7.91,7.77,10.61,8.44,10.60,3.73,4.50,4.43,3.94,8.31,4.70,5.08,5.87,3.87,7.47,10.18,8.38,8.99,7.51,3.75,4.35,9.57,9.19,5.17,8.13,8.12,8.92,3.80,5.00,4.84,0.00
7.39,4.56,4.50,4.01,5.36,3.65,4.11,3.75,4.55,4.30,3.74,5.43,3.89,8.35,5.32,10.14,8.77,8.29,4.55,3.90,5.46,4.67,10.95,4.72,8.18,8.75,9.06,3.77,3.82,4.50,0.00
7.60,8.97,4.93,3.79,5.21,3.54,3.43,4.06,4.01,9.32,4.12,6.28,3.37,7.64,5.45,9.70,9.78,8.02,4.21,3.52,4.20,5.10,11.74,4.74,7.74,7.90,8.78,3.89,3.84,5.02,0.00
7.23,4.79,8.54,3.75,6.62,4.06,4.34,4.09,4.26,7.05,3.73,6.59,7.54,7.97,6.03,9.97,7.41,8.28,4.44,3.72,4.93,9.00,9.21,5.02,7.87,8.39,8.62,3.89,3.69,4.86,0.00
8.67,8.54,9.64,9.97,10.53,3.75,4.29,3.86,4.19,8.68,4.11,7.68,5.12,8.35,7.87,9.23,8.28,8.83,7.59,4.03,5.58,12.17,8.05,4.85,7.66,6.11,8.54,4.09,6.96,5.41,0.00
7.08,7.97,4.64,8.25,8.91,3.87,3.88,4.37,4.24,5.85,3.55,6.47,3.70,8.00,5.63,9.25,7.37,10.41,4.55,5.96,4.92,9.80,9.04,5.46,8.46,6.44,9.13,3.92,8.31,4.61,0.00
9.28,8.33,4.26,5.43,6.05,3.63,4.47,5.27,9.55,5.59,7.50,7.41,9.85,7.51,6.20,9.53,8.10,8.77,5.06,4.98,5.39,5.63,10.74,5.37,7.79,8.06,9.44,3.77,3.37,4.64,0.00
6.72,3.83,6.54,3.84,4.94,3.71,4.09,3.92,4.12,7.48,3.43,5.11,3.59,9.01,5.37,10.29,8.21,8.39,4.63,3.54,4.26,5.44,10.87,4.93,8.98,5.02,9.09,3.63,3.78,4.37,0.00
9.39,4.52,4.03,7.64,7.28,3.75,6.42,3.52,10.64,6.94,3.26,4.47,9.61,8.99,8.09,9.42,7.33,9.50,4.35,6.26,4.08,5.20,10.74,6.48,8.68,6.12,8.50,3.96,3.98,5.79,0.00
7.28,5.08,4.35,7.31,4.73,3.96,7.05,4.06,3.92,10.33,3.84,7.77,3.49,8.69,5.20,4.59,7.60,9.25,4.77,8.31,4.34,11.68,11.45,4.89,8.30,4.82,8.58,3.77,6.84,4.72,1.00
