100124700_at,100652898_at,1009_at,10810_at,1281_at,146857_at,147381_at,147495_at,1604_at,1759_at,1827_at,1847_at,203413_at,2037_at,2152_at,256691_at,2571_at,25797_at,284702_at,29091_at,2919_at,29940_at,3216_at,375033_at,3759_at,3872_at,401074_at,5090_at,54097_at,54532_at,55786_at,57639_at,5793_at,64108_at,644246_at,8870_at,8910_at,9540_at,9603_at,9760_at,label
3.78,9.57,4.39,7.37,3.92,5.98,4.40,4.04,8.80,5.00,4.58,8.84,3.53,4.41,4.12,3.83,4.33,3.68,8.53,5.95,4.64,7.11,4.62,4.01,4.17,4.20,4.32,9.28,3.61,6.49,3.59,5.27,4.37,7.00,6.32,8.01,9.09,8.02,7.24,3.63,0.00
8.28,10.01,4.24,11.39,7.40,3.52,4.04,13.21,8.48,8.22,6.49,6.21,3.45,11.64,4.38,3.56,5.23,10.16,7.96,7.52,4.39,6.84,6.30,3.93,4.32,4.00,4.71,8.01,3.59,7.14,4.41,4.90,7.01,3.98,7.49,5.22,9.20,4.18,6.55,3.72,0.00
4.00,11.61,4.14,8.77,3.95,3.69,4.14,9.47,8.70,5.92,11.75,10.19,3.46,10.05,5.53,4.17,7.19,11.52,8.59,6.06,4.63,4.86,6.81,3.51,4.37,4.19,3.84,7.63,3.45,10.27,4.06,5.06,6.64,4.41,5.75,12.35,11.46,6.63,5.83,3.86,0.00
3.66,10.04,4.09,10.75,3.69,3.64,3.95,4.35,10.22,5.32,10.03,5.41,3.52,9.46,5.46,3.86,4.44,12.16,8.26,5.97,8.74,4.91,6.23,3.76,4.32,3.92,4.76,5.93,3.66,7.71,6.83,4.42,8.41,6.23,6.80,11.67,10.04,5.18,6.14,3.44,1.00
3.79,8.76,12.56,8.45,14.11,3.71,4.07,7.35,8.06,8.54,10.00,5.51,3.94,8.74,6.74,8.30,5.60,4.93,8.72,4.98,3.99,10.76,6.82,3.65,7.80,4.25,4.19,8.14,3.69,9.28,7.45,4.78,7.14,4.26,8.26,4.73,11.76,7.08,4.23,5.26,0.00
3.68,8.46,4.21,9.40,12.60,4.16,6.01,6.15,7.71,6.91,5.43,4.58,3.51,9.49,3.96,8.25,4.15,4.89,8.11,3.86,3.87,11.36,6.00,3.76,4.54,3.88,8.80,10.05,3.62,4.63,8.40,4.09,6.24,3.85,10.88,8.38,8.96,8.55,5.62,9.33,1.00
3.76,8.62,4.15,4.95,9.85,3.72,4.16,4.30,12.90,6.55,8.41,5.56,8.51,7.92,7.71,3.57,8.04,3.61,8.72,7.67,10.76,4.56,10.62,4.31,3.64,8.82,4.16,8.08,4.40,6.80,3.78,4.34,7.75,7.17,7.89,12.35,4.42,7.32,8.23,3.69,1.00
5.95,11.28,4.13,5.62,3.76,3.55,4.00,4.17,8.39,9.37,8.53,6.37,3.42,7.49,5.87,3.61,4.31,3.95,8.92,4.23,4.58,4.76,3.96,4.68,4.11,4.59,8.01,5.38,7.55,7.21,7.99,4.54,8.66,4.52,4.28,11.32,3.76,6.19,4.01,3.80,1.00
3.47,12.64,4.10,8.82,3.74,3.57,3.81,4.14,10.19,8.60,6.11,6.24,3.44,11.35,11.94,3.53,5.48,7.15,9.20,3.98,4.47,7.46,3.86,4.00,4.05,3.98,5.40,7.82,3.97,6.61,7.57,4.23,7.86,4.17,6.94,5.42,9.20,9.55,4.98,3.75,0.00
3.22,10.62,11.31,4.67,3.79,3.69,4.12,3.92,8.78,5.73,8.74,8.15,3.52,9.11,11.56,4.05,4.28,10.46,7.64,3.71,13.47,11.36,4.06,4.29,5.83,8.14,5.83,7.88,3.68,7.34,6.67,6.19,7.61,6.26,6.54,11.94,11.83,8.09,8.77,3.34,1.00
3.66,10.46,7.45,8.45,3.91,4.23,3.69,3.99,8.12,7.35,7.30,8.54,7.96,9.86,7.97,4.08,5.95,9.57,6.93,3.78,12.26,10.52,7.14,4.47,4.36,4.33,6.11,8.37,3.98,7.51,4.95,3.91,9.10,5.86,8.18,13.40,9.69,8.59,7.06,5.44,1.00
4.76,8.63,10.69,5.67,3.93,3.63,4.03,5.84,7.79,5.22,6.74,7.23,9.51,10.40,8.79,3.95,5.34,3.61,7.96,3.85,4.66,7.78,3.76,3.62,4.67,5.48,4.13,6.36,3.75,7.19,5.83,5.17,7.66,3.88,6.90,12.83,9.21,5.99,7.11,4.02,1.00
6.86,12.74,4.15,9.29,4.02,3.87,4.19,7.66,10.52,9.11,10.15,6.06,3.83,9.54,6.24,3.53,4.15,3.77,9.21,7.06,4.55,8.94,5.08,3.99,4.27,6.49,5.23,8.85,4.02,6.29,7.01,4.79,5.62,8.44,5.46,9.90,11.32,8.05,6.69,3.86,0.00
3.75,7.92,5.11,4.89,10.97,7.15,4.32,4.14,10.40,7.64,6.52,8.13,10.53,8.72,7.72,3.70,7.00,11.73,8.26,4.08,6.25,9.49,10.02,4.72,6.59,4.75,7.98,8.12,5.23,6.14,6.88,4.32,4.30,4.72,5.98,12.05,10.47,8.72,6.19,4.08,1.00
3.41,10.77,3.90,5.67,3.75,8.13,3.88,9.02,11.75,5.27,5.65,8.67,3.35,6.40,9.47,5.66,8.75,3.59,7.69,5.20,4.19,6.79,7.36,4.39,4.28,4.27,6.14,8.66,5.05,8.77,7.63,5.11,4.61,4.88,7.29,11.99,11.94,10.54,5.35,3.45,0.00
3.70,12.22,8.56,4.73,3.80,4.21,4.17,4.25,11.45,8.98,9.87,10.52,8.57,9.18,12.07,3.97,6.41,4.31,7.56,4.13,8.45,10.70,6.84,5.59,4.01,10.07,4.15,7.98,3.89,8.33,3.69,4.84,7.57,4.34,7.89,12.79,4.71,6.70,8.62,3.64,1.00
3.65,7.94,4.17,8.71,3.87,3.67,4.04,4.11,9.74,8.51,7.38,10.05,3.40,10.05,10.15,7.12,6.73,7.32,6.42,4.78,11.97,10.07,9.98,9.07,5.56,4.36,4.36,8.82,3.49,7.78,5.57,4.74,8.63,4.15,6.33,10.94,10.11,9.11,8.23,3.85,0.00
6.66,11.19,4.21,8.84,12.62,3.75,4.11,9.73,9.28,9.26,5.77,4.64,3.71,8.95,5.73,3.60,7.71,3.66,8.69,7.43,4.33,9.54,5.27,3.95,4.13,3.83,4.38,8.47,4.02,5.33,3.66,4.18,7.88,4.42,4.74,7.48,9.81,9.91,7.14,5.26,0.00
3.37,13.74,4.79,8.61,3.96,3.46,4.64,4.38,10.00,5.37,5.88,5.16,3.76,8.97,4.23,3.75,4.94,3.88,7.73,4.24,4.59,7.61,4.80,3.82,4.81,4.38,4.39,7.87,3.94,9.47,3.85,4.65,6.59,4.46,6.02,9.12,10.52,9.20,5.62,3.89,0.00
3.40,13.00,10.79,9.40,11.40,3.63,3.76,4.29,9.58,6.38,8.61,8.01,3.54,9.64,9.66,6.74,4.13,5.58,6.81,6.65,4.39,11.46,9.88,8.52,6.03,4.23,8.41,9.21,3.69,7.13,7.46,4.65,8.35,4.19,5.94,11.06,10.88,10.05,5.65,4.57,0.00
3.89,9.22,8.19,8.86,3.69,3.72,3.82,5.13,8.50,7.21,11.13,6.37,4.07,9.18,5.43,4.00,9.14,9.84,5.06,7.47,8.36,7.36,7.10,3.99,4.25,6.21,6.76,6.65,6.94,9.73,3.69,5.59,6.51,7.25,6.87,12.25,10.92,9.69,8.01,3.83,1.00
