100124700_at,100652898_at,10810_at,1281_at,146857_at,147381_at,147495_at,1604_at,1759_at,1827_at,1847_at,203413_at,256691_at,25797_at,29940_at,3216_at,375033_at,3759_at,401074_at,5090_at,54097_at,54532_at,57639_at,5793_at,64108_at,644246_at,8870_at,9540_at,9603_at,9760_at,label
3.76,8.62,4.95,9.85,3.72,4.16,4.30,12.90,6.55,8.41,5.56,8.51,3.57,3.61,4.56,10.62,4.31,3.64,4.16,8.08,4.40,6.80,4.34,7.75,7.17,7.89,12.35,7.32,8.23,3.69,1.00
5.95,11.28,5.62,3.76,3.55,4.00,4.17,8.39,9.37,8.53,6.37,3.42,3.61,3.95,4.76,3.96,4.68,4.11,8.01,5.38,7.55,7.21,4.54,8.66,4.52,4.28,11.32,6.19,4.01,3.80,1.00
3.47,12.64,8.82,3.74,3.57,3.81,4.14,10.19,8.60,6.11,6.24,3.44,3.53,7.15,7.46,3.86,4.00,4.05,5.40,7.82,3.97,6.61,4.23,7.86,4.17,6.94,5.42,9.55,4.98,3.75,0.00
3.22,10.62,4.67,3.79,3.69,4.12,3.92,8.78,5.73,8.74,8.15,3.52,4.05,10.46,11.36,4.06,4.29,5.83,5.83,7.88,3.68,7.34,6.19,7.61,6.26,6.54,11.94,8.09,8.77,3.34,1.00
3.66,10.46,8.45,3.91,4.23,3.69,3.99,8.12,7.35,7.30,8.54,7.96,4.08,9.57,10.52,7.14,4.47,4.36,6.11,8.37,3.98,7.51,3.91,9.10,5.86,8.18,13.40,8.59,7.06,5.44,1.00
4.76,8.63,5.67,3.93,3.63,4.03,5.84,7.79,5.22,6.74,7.23,9.51,3.95,3.61,7.78,3.76,3.62,4.67,4.13,6.36,3.75,7.19,5.17,7.66,3.88,6.90,12.83,5.99,7.11,4.02,1.00
6.86,12.74,9.29,4.02,3.87,4.19,7.66,10.52,9.11,10.15,6.06,3.83,3.53,3.77,8.94,5.08,3.99,4.27,5.23,8.85,4.02,6.29,4.79,5.62,8.44,5.46,9.90,8.05,6.69,3.86,0.00
3.75,7.92,4.89,10.97,7.15,4.32,4.14,10.40,7.64,6.52,8.13,10.53,3.70,11.73,9.49,10.02,4.72,6.59,7.98,8.12,5.23,6.14,4.32,4.30,4.72,5.98,12.05,8.72,6.19,4.08,1.00
3.41,10.77,5.67,3.75,8.13,3.88,9.02,11.75,5.27,5.65,8.67,3.35,5.66,3.59,6.79,7.36,4.39,4.28,6.14,8.66,5.05,8.77,5.11,4.61,4.88,7.29,11.99,10.54,5.35,3.45,0.00
3.70,12.22,4.73,3.80,4.21,4.17,4.25,11.45,8.98,9.87,10.52,8.57,3.97,4.31,10.70,6.84,5.59,4.01,4.15,7.98,3.89,8.33,4.84,7.57,4.34,7.89,12.79,6.70,8.62,3.64,1.00
3.65,7.94,8.71,3.87,3.67,4.04,4.11,9.74,8.51,7.38,10.05,3.40,7.12,7.32,10.07,9.98,9.07,5.56,4.36,8.82,3.49,7.78,4.74,8.63,4.15,6.33,10.94,9.11,8.23,3.85,0.00
6.66,11.19,8.84,12.62,3.75,4.11,9.73,9.28,9.26,5.77,4.64,3.71,3.60,3.66,9.54,5.27,3.95,4.13,4.38,8.47,4.02,5.33,4.18,7.88,4.42,4.74,7.48,9.91,7.14,5.26,0.00
3.37,13.74,8.61,3.96,3.46,4.64,4.38,10.00,5.37,5.88,5.16,3.76,3.75,3.88,7.61,4.80,3.82,4.81,4.39,7.87,3.94,9.47,4.65,6.59,4.46,6.02,9.12,9.20,5.62,3.89,0.00
3.40,13.00,9.40,11.40,3.63,3.76,4.29,9.58,6.38,8.61,8.01,3.54,6.74,5.58,11.46,9.88,8.52,6.03,8.41,9.21,3.69,7.13,4.65,8.35,4.19,5.94,11.06,10.05,5.65,4.57,0.00
3.89,9.22,8.86,3.69,3.72,3.82,5.13,8.50,7.21,11.13,6.37,4.07,4.00,9.84,7.36,7.10,3.99,4.25,6.76,6.65,6.94,9.73,5.59,6.51,7.25,6.87,12.25,9.69,8.01,3.83,1.00
8.00,13.13,10.01,13.90,7.07,4.06,4.86,11.30,8.21,8.76,6.30,3.46,3.91,7.12,11.09,3.90,4.90,5.98,5.84,8.69,3.85,8.56,5.34,7.49,6.31,5.85,12.69,8.37,5.94,4.38,1.00
4.12,8.04,4.83,5.89,3.74,6.86,8.18,13.10,5.56,7.41,8.98,9.44,8.96,5.91,5.86,5.70,8.78,9.26,4.17,6.99,4.28,6.43,4.95,5.86,6.97,6.61,12.18,8.49,6.36,5.05,0.00
3.54,11.99,6.54,9.27,3.96,4.71,4.09,9.95,5.43,10.02,7.05,3.67,4.11,8.56,6.95,7.79,3.78,6.20,6.94,8.78,4.14,9.19,4.79,8.38,8.99,7.85,12.55,9.30,7.10,3.84,1.00
3.53,10.68,8.78,3.74,3.67,4.03,3.95,10.13,5.53,10.23,8.41,3.98,3.58,10.51,8.02,7.73,3.89,5.20,5.61,7.95,3.85,8.07,4.48,8.49,8.75,8.00,11.78,9.04,8.17,3.76,1.00
3.61,7.58,5.45,3.94,7.82,4.21,4.13,9.56,8.21,7.09,9.00,10.14,3.63,7.75,4.09,5.41,3.96,4.29,4.68,7.18,3.81,7.03,4.35,6.68,3.91,5.51,10.49,11.76,5.12,3.63,0.00
3.45,9.65,5.81,3.79,8.15,4.08,4.11,10.41,5.70,7.31,11.15,8.54,7.75,5.69,8.50,8.97,3.86,4.27,4.34,7.10,9.24,7.79,4.75,4.91,9.09,7.57,10.25,8.83,8.96,3.68,1.00
3.67,6.35,4.97,5.50,5.04,4.53,4.00,8.79,5.34,6.32,5.27,3.64,3.75,4.17,7.59,6.27,3.68,6.09,4.14,8.66,3.81,6.66,6.64,6.64,8.41,6.74,8.58,8.08,6.67,7.38,1.00
3.47,10.04,8.53,5.52,3.70,3.94,3.69,8.49,6.37,6.00,9.80,3.73,4.15,3.90,5.18,11.07,3.78,10.09,6.01,5.74,3.73,7.16,4.57,6.76,3.98,8.01,9.76,7.49,5.75,3.64,0.00
4.71,11.72,4.95,3.73,3.69,4.08,7.73,11.22,7.04,6.61,5.11,11.45,3.53,3.50,3.90,9.18,4.97,3.99,4.19,7.21,3.78,7.60,6.26,7.24,9.54,7.38,11.33,7.20,8.19,3.75,1.00
3.24,10.16,8.22,7.69,3.61,7.41,4.55,8.85,7.14,6.23,5.36,3.71,6.13,5.67,8.37,7.42,4.08,4.12,8.61,6.56,7.40,7.59,10.31,7.20,3.67,4.74,7.74,10.54,5.16,3.87,1.00
4.44,8.85,7.99,8.85,4.61,4.06,4.15,11.56,7.68,6.46,5.68,3.41,5.13,4.86,9.21,5.79,4.49,4.40,7.84,10.55,3.91,6.86,4.68,4.94,7.47,6.80,10.75,9.45,6.71,3.82,0.00
3.21,11.00,4.63,3.86,3.81,3.89,4.28,10.54,8.10,7.84,7.75,3.45,5.76,10.45,8.90,7.51,3.67,3.73,3.64,8.87,4.01,7.97,4.74,7.27,4.26,6.10,11.52,10.86,6.96,3.87,0.00
3.69,11.99,8.80,3.75,7.07,11.34,4.03,11.25,6.03,6.68,8.56,3.47,3.50,5.57,5.30,6.27,3.87,5.04,6.53,6.62,3.88,6.36,8.28,8.16,7.80,6.87,12.80,9.08,6.74,4.30,1.00
