10873_at,1303_at,1809_at,26040_at,51276_at,6676_at,9886_at,label
7.19,4.34,7.11,7.01,6.89,5.17,6.10,1.00
7.84,7.46,4.12,4.07,5.71,6.84,3.70,1.00
5.20,4.65,4.26,4.35,6.17,4.37,6.99,1.00
6.71,8.71,6.12,5.46,5.37,6.08,4.79,0.00
5.38,6.28,10.58,4.16,4.53,5.06,9.46,0.00
7.77,4.81,6.44,5.14,5.04,4.78,6.87,1.00
7.47,5.27,6.30,7.35,4.83,4.26,6.95,1.00
5.88,4.49,4.07,4.36,6.46,4.40,3.94,1.00
6.04,4.27,4.17,7.24,5.17,7.94,3.96,1.00
6.41,4.41,4.18,4.18,6.19,4.54,4.20,0.00
5.08,4.44,4.33,4.23,7.54,6.44,8.76,1.00
4.78,4.27,4.43,8.20,5.32,5.26,3.74,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5.66,4.48,4.05,6.57,5.98,6.00,3.71,0.00
4.41,8.12,4.15,6.60,5.80,4.91,3.97,0.00
4.93,4.27,4.14,4.34,5.43,7.93,9.93,1.00
8.24,6.64,3.94,5.66,5.47,6.00,4.42,1.00
9.33,8.61,9.01,4.25,5.64,5.58,5.59,0.00
7.86,4.56,5.85,4.98,5.38,5.53,7.06,1.00
5.23,5.81,4.24,5.05,7.32,4.24,4.86,0.00
9.73,4.66,5.01,4.19,5.51,6.44,3.53,1.00
7.60,6.80,8.24,6.63,6.68,4.26,8.15,1.00
8.24,4.13,4.14,3.99,6.19,4.62,4.25,1.00
9.15,5.11,8.22,4.42,6.27,5.10,9.21,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.05,7.39,5.03,6.70,7.14,4.92,5.88,0.00
5.68,6.52,4.84,5.71,3.87,4.60,5.18,0.00
7.30,10.09,9.31,8.79,5.60,3.95,8.39,0.00
6.30,4.26,4.09,4.28,5.86,5.10,7.62,1.00
5.38,4.77,4.33,8.58,5.22,5.53,3.90,1.00
6.04,4.31,3.98,7.08,7.62,6.27,3.65,0.00
6.61,7.37,7.95,4.25,4.69,9.16,3.90,0.00
6.14,7.97,7.86,5.21,4.61,6.30,7.04,0.00
8.16,6.63,6.27,6.10,5.41,5.52,6.39,1.00
7.11,4.45,3.98,4.17,5.16,4.84,4.77,1.00
6.62,4.94,5.71,6.28,6.37,5.22,8.06,1.00
5.50,4.87,6.17,7.57,5.34,3.95,7.32,1.00
6.79,4.49,4.28,4.17,5.83,7.01,10.30,1.00
10.33,11.72,4.21,4.01,6.33,5.56,4.80,0.00
