100505715_at,100506965_at,10129_at,10202_at,10643_at,10974_at,1303_at,1380_at,1545_at,170712_at,1917_at,2207_at,2533_at,2534_at,2627_at,283120_at,3488_at,387914_at,3915_at,53335_at,54742_at,56271_at,56605_at,5672_at,57007_at,5728_at,57407_at,58480_at,5918_at,64092_at,6446_at,793_at,79652_at,81618_at,84267_at,8910_at,90141_at,9603_at,9886_at,9966_at,label
5.99,7.92,4.69,6.92,12.11,4.26,4.56,4.04,6.34,3.70,11.32,5.09,3.82,7.69,4.89,4.28,8.66,10.21,10.15,4.75,4.55,4.08,5.50,5.01,4.51,8.77,9.88,6.09,6.82,3.79,11.51,3.92,4.55,9.24,8.81,10.61,9.44,8.74,7.06,4.24,1.00
7.04,7.76,4.70,5.51,4.25,12.50,5.81,3.74,7.76,3.64,11.16,5.27,3.74,3.98,9.34,4.41,10.65,7.68,8.77,4.65,4.24,5.79,6.03,4.81,4.45,8.43,10.30,6.84,4.46,4.06,5.03,4.05,3.96,7.94,9.66,7.16,9.70,4.75,4.86,4.56,0.00
6.94,5.03,4.12,5.69,10.28,4.59,4.66,3.76,7.50,3.75,8.81,4.85,3.77,4.26,7.00,4.04,4.09,3.52,9.71,4.44,3.99,4.70,4.76,7.74,3.91,9.43,10.56,8.38,13.64,3.86,8.88,4.54,4.22,8.49,8.78,11.67,10.07,9.31,3.53,6.57,1.00
7.49,8.62,4.43,5.06,11.29,4.03,6.80,3.81,4.44,3.61,11.48,4.86,3.76,7.08,4.43,4.23,4.52,4.25,11.28,5.46,4.21,8.57,4.98,5.54,4.34,9.66,4.66,7.50,4.17,3.90,10.93,3.68,4.27,10.39,7.38,10.85,8.50,5.89,8.15,4.18,1.00
5.64,6.45,6.11,5.71,10.28,4.51,4.13,4.38,5.83,3.54,4.57,10.20,6.80,5.46,3.93,4.08,4.04,3.54,9.11,7.54,4.61,8.07,8.04,4.30,6.69,9.24,9.73,4.14,4.09,11.53,4.47,3.78,3.84,7.69,8.12,4.31,7.82,5.69,4.25,4.15,1.00
6.92,3.86,7.07,7.99,10.36,4.16,5.11,3.81,4.25,3.85,4.10,4.85,3.81,8.84,4.26,4.58,4.11,3.65,9.83,9.26,4.10,4.27,8.35,5.06,7.95,7.75,10.73,4.45,4.27,3.94,7.51,4.61,3.66,9.03,8.93,9.20,8.10,6.55,9.21,4.44,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7.69,7.70,4.04,9.61,9.32,4.09,7.39,4.07,10.45,6.44,11.52,4.53,3.68,7.35,7.25,4.56,4.01,3.81,9.91,4.78,4.13,8.31,6.93,8.69,6.30,9.77,10.48,6.13,5.32,3.88,9.16,7.55,4.09,9.41,9.62,9.42,8.66,6.86,5.88,8.56,0.00
4.95,4.37,3.95,5.89,10.84,8.86,6.52,3.85,8.06,3.60,5.24,4.84,4.34,6.02,8.84,8.45,4.99,7.67,10.91,6.74,9.34,4.36,5.31,7.82,8.82,8.58,9.24,4.22,7.51,3.96,8.85,4.88,4.20,8.71,8.35,11.73,8.14,6.12,5.18,5.50,0.00
5.20,7.36,5.92,4.37,10.61,4.54,10.09,3.67,4.42,3.42,4.10,5.33,3.57,8.48,10.49,4.52,6.40,4.03,11.91,4.52,3.93,4.84,5.44,4.86,4.62,8.20,4.97,3.77,4.16,4.00,8.62,3.81,4.18,9.00,8.77,11.76,7.27,4.23,8.39,4.29,0.00
8.58,9.62,4.35,4.46,12.09,4.53,4.26,3.67,5.28,3.77,10.29,4.63,3.67,6.85,3.81,5.15,4.13,4.58,9.55,5.75,4.02,11.32,5.56,4.79,4.09,10.24,10.33,5.84,6.45,3.86,7.65,3.84,3.93,9.66,8.20,8.96,8.77,5.62,7.62,4.34,1.00
6.32,7.24,7.40,4.51,11.55,4.37,4.77,4.06,4.32,3.55,4.93,4.66,3.69,6.97,4.19,4.37,4.11,3.66,7.78,11.20,4.10,4.60,8.32,3.95,5.32,10.71,9.82,4.24,3.86,5.14,6.90,4.00,3.83,8.01,8.97,10.62,8.08,6.05,3.90,4.86,1.00
7.53,6.76,6.32,9.77,10.84,4.27,4.31,9.83,3.96,3.45,4.62,4.93,3.72,8.66,4.30,4.62,4.18,3.52,8.65,9.16,4.15,4.12,8.72,5.07,8.14,10.41,4.77,3.86,4.26,10.06,7.41,3.94,4.27,6.60,7.39,9.77,7.74,5.18,3.65,4.72,0.00
7.53,5.32,3.93,8.07,9.56,4.51,7.37,3.87,4.40,3.96,10.24,5.26,5.12,5.53,4.69,5.75,4.08,6.37,11.02,4.42,6.66,6.57,5.82,7.48,3.97,7.51,10.04,5.71,5.72,3.84,7.37,10.18,4.66,10.67,9.07,8.86,9.67,8.25,3.90,8.15,0.00
6.72,6.36,4.22,4.18,10.94,4.34,7.97,3.88,4.28,3.73,4.72,5.18,3.79,7.89,8.09,4.00,4.03,5.05,10.20,4.70,9.75,7.97,5.57,9.41,3.79,8.19,9.42,3.84,4.99,4.56,10.93,4.04,8.43,8.63,5.38,10.43,8.63,7.64,7.04,4.51,0.00
6.19,3.93,4.48,5.82,11.31,9.77,6.63,4.03,9.03,3.49,4.45,4.88,3.70,7.09,4.08,4.54,4.07,3.82,11.32,4.55,4.51,10.39,6.89,4.99,3.80,8.61,8.87,3.79,8.00,3.95,9.28,3.78,3.60,8.36,9.48,11.83,8.02,8.77,6.39,4.28,1.00
6.91,6.32,6.49,4.92,9.47,4.42,4.45,4.00,3.96,3.82,4.75,7.20,8.48,9.17,7.34,5.39,4.04,3.74,8.37,7.94,4.02,11.89,4.62,5.24,4.19,9.49,10.15,7.25,4.05,12.34,6.54,8.31,4.20,7.71,9.23,4.80,7.41,6.80,4.77,4.21,1.00
8.00,4.03,5.73,6.19,10.37,4.13,4.94,4.17,10.14,3.63,5.82,4.74,3.89,7.41,3.67,3.94,4.90,8.73,10.88,8.80,5.23,8.84,6.60,4.46,6.01,8.90,9.85,4.77,4.19,3.93,8.83,3.77,4.02,11.15,4.55,10.33,9.06,8.67,8.06,4.29,1.00
6.73,7.93,4.12,6.72,10.32,4.32,4.87,3.75,3.96,4.39,5.64,5.58,4.52,8.57,4.75,5.26,3.89,8.93,10.11,5.04,4.24,8.17,5.42,4.73,3.70,8.18,9.42,4.09,4.21,3.75,12.98,3.81,3.99,9.92,9.86,11.03,7.45,6.26,7.32,4.15,1.00
