100132815_at,10406_at,10536_at,1236_at,1281_at,129607_at,1365_at,142678_at,153579_at,1690_at,170712_at,1839_at,221120_at,23641_at,2697_at,27345_at,28231_at,283897_at,339766_at,3625_at,5570_at,56994_at,57153_at,5783_at,6451_at,7620_at,79605_at,9308_at,9590_at,9603_at,label
7.52,4.74,4.22,4.90,3.78,7.65,4.01,6.70,11.58,10.40,3.55,6.27,8.15,5.23,4.50,9.96,8.44,9.52,3.55,4.32,3.91,9.60,7.67,4.68,11.14,5.73,4.02,10.92,4.68,6.05,1.00
6.34,10.33,4.12,3.97,3.72,5.46,4.27,6.28,4.08,4.56,3.62,11.44,8.98,10.45,3.74,9.57,10.04,3.46,3.66,4.59,5.55,8.42,6.95,4.38,9.11,4.38,4.40,7.80,7.94,8.62,0.00
5.95,9.76,5.32,4.11,3.62,9.22,9.65,6.21,4.45,7.65,3.30,8.16,8.50,10.16,10.69,5.06,9.72,3.37,3.55,9.11,4.69,9.97,4.33,8.51,9.08,5.15,6.54,7.74,7.44,7.18,0.00
6.78,4.56,5.30,3.90,3.78,5.24,3.80,6.31,3.89,11.34,3.77,6.41,9.52,4.84,3.89,4.85,9.00,10.11,3.75,4.33,3.53,9.84,4.87,7.32,10.87,6.50,5.97,8.94,4.62,4.64,1.00
8.46,4.14,4.17,3.89,3.74,5.27,6.85,6.20,5.10,8.87,3.59,7.31,7.87,9.14,4.35,7.24,7.83,3.41,4.07,4.68,3.56,10.51,6.30,6.86,10.21,5.37,6.74,6.37,8.72,4.98,0.00
4.05,4.52,6.65,3.83,3.84,4.50,4.28,5.35,4.17,4.87,3.73,10.55,8.85,5.17,3.70,5.48,9.16,3.41,3.71,4.48,3.69,10.51,5.34,6.25,10.16,3.95,4.06,7.16,11.18,7.64,0.00
6.51,5.24,6.25,3.99,3.79,10.16,3.84,5.52,3.85,9.59,3.49,7.68,7.77,8.65,11.05,5.01,9.04,3.18,3.66,4.38,3.81,10.14,6.02,6.26,10.10,4.76,4.47,7.33,8.62,8.77,1.00
7.19,4.42,4.76,3.99,3.67,11.38,4.04,7.06,3.87,9.69,3.82,5.97,8.83,5.31,3.30,4.87,5.42,8.29,3.59,4.44,7.77,12.66,8.13,8.18,11.44,5.62,3.91,7.36,4.78,6.80,1.00
8.49,4.35,7.51,4.14,3.72,4.38,4.09,6.51,4.12,10.18,8.54,7.18,9.20,5.12,3.85,5.06,9.44,3.86,3.63,5.85,7.66,9.96,6.09,4.98,3.78,7.29,8.01,7.13,4.71,6.71,1.00
5.52,4.35,5.60,3.86,3.62,7.30,3.89,5.40,3.81,7.95,4.39,6.59,9.30,8.76,3.52,6.47,8.02,3.35,3.67,4.19,4.37,11.32,6.58,8.00,10.26,3.80,5.39,9.88,8.79,6.26,1.00
8.02,4.12,5.85,3.78,11.48,4.12,3.81,6.10,6.99,4.50,3.65,9.04,8.70,5.41,13.02,6.68,7.25,3.61,3.82,4.46,3.67,10.65,5.74,4.82,9.86,6.60,4.93,5.32,7.76,9.02,1.00
6.77,4.72,3.97,3.96,3.84,5.63,4.07,5.75,3.61,5.37,7.43,10.76,9.19,9.02,10.82,5.62,8.59,3.46,3.57,5.06,4.01,11.19,5.54,5.08,9.77,5.72,6.82,8.38,11.39,8.53,0.00
6.48,4.41,6.65,4.06,3.67,5.00,4.11,6.99,3.95,4.73,3.69,10.23,9.27,11.50,10.93,4.71,5.51,3.50,3.43,5.63,3.38,10.27,6.05,4.70,9.04,4.41,4.03,7.34,6.20,3.46,1.00
5.01,4.30,4.49,3.75,3.78,4.72,7.88,5.23,5.98,10.54,9.75,7.15,6.49,4.86,6.34,7.27,7.94,3.29,3.48,4.39,7.87,10.70,5.75,9.93,10.52,4.39,9.47,7.41,6.22,8.10,0.00
7.06,4.35,3.90,10.80,3.70,4.20,4.14,8.95,11.94,10.02,3.42,9.98,8.85,7.63,3.57,7.32,7.65,9.74,3.39,4.59,3.46,9.61,8.45,6.97,11.70,5.28,4.04,10.52,4.98,6.55,1.00
4.91,4.05,6.52,4.02,9.79,6.87,3.96,6.46,5.23,4.39,3.52,5.55,9.10,10.02,11.41,6.08,7.95,6.72,4.29,6.22,3.82,10.42,6.79,9.69,9.92,5.00,5.44,6.81,6.83,6.93,1.00
8.27,11.56,4.03,3.99,6.17,9.27,5.25,6.84,3.79,11.16,3.80,7.76,9.20,10.13,3.56,9.82,4.52,3.49,3.65,5.96,5.53,8.35,8.91,5.87,9.62,3.73,10.15,8.29,5.27,7.63,0.00
5.46,13.35,3.97,3.83,4.02,8.19,4.12,5.34,6.38,4.77,3.78,6.50,4.96,9.68,3.69,4.61,8.51,3.52,3.60,6.13,4.15,12.08,8.95,7.14,10.08,4.48,6.50,8.55,4.57,6.69,0.00
6.84,4.66,3.97,4.06,3.69,9.32,6.45,4.87,8.33,4.94,8.23,6.03,8.44,10.40,3.68,7.88,7.59,3.59,3.81,11.38,8.85,8.54,8.88,8.79,7.10,4.84,6.47,5.73,4.91,4.33,0.00
6.89,5.97,3.74,3.79,3.75,8.42,8.28,5.58,3.99,6.52,3.80,6.19,8.44,9.92,9.52,8.99,9.57,3.32,3.58,11.41,5.55,6.80,8.96,8.17,7.43,5.01,5.84,6.79,4.58,5.35,0.00
4.19,9.58,5.62,3.72,3.80,6.42,4.29,6.79,3.99,7.88,3.79,10.46,8.50,8.02,10.95,5.10,10.49,3.43,3.45,7.30,7.08,9.52,6.32,5.63,10.03,4.24,5.26,7.96,11.13,8.62,0.00
6.03,5.93,4.04,3.73,3.75,6.05,11.27,5.67,9.45,5.59,3.80,7.83,9.88,4.61,3.58,8.22,11.56,3.46,3.88,8.09,4.36,9.43,7.65,7.32,7.70,5.94,3.72,7.07,5.44,9.56,0.00
6.33,9.96,3.80,3.75,3.60,10.02,8.00,5.45,3.79,10.15,3.66,8.81,8.23,10.44,7.75,5.24,9.65,3.42,3.60,4.70,7.42,9.09,8.33,6.88,10.02,3.86,4.39,7.60,5.29,4.87,0.00
7.03,5.47,4.12,3.77,4.02,4.19,7.58,5.53,3.99,6.25,3.96,9.00,8.17,10.96,10.25,6.92,8.70,3.40,3.67,6.55,8.06,9.27,7.70,8.81,10.41,5.75,6.53,7.42,6.23,7.31,0.00
8.84,11.86,6.79,4.11,3.71,11.82,8.00,6.06,3.82,10.08,3.20,6.89,8.40,9.76,6.25,7.77,7.10,3.65,3.50,7.30,3.85,7.80,10.87,8.05,10.68,5.09,4.59,7.77,9.97,10.04,1.00
6.79,7.76,4.18,3.76,3.80,4.44,4.98,4.98,4.21,10.50,3.64,6.60,8.59,6.46,4.45,5.25,8.52,3.54,3.58,4.61,3.57,8.03,8.98,7.11,9.11,5.69,3.62,9.26,6.56,6.60,1.00
7.78,5.10,4.62,4.49,3.87,6.04,6.77,6.12,3.97,9.39,4.04,6.00,7.78,5.05,3.65,9.50,8.65,3.21,3.59,8.17,3.48,6.80,6.95,10.44,10.47,6.42,8.95,6.87,9.48,3.94,0.00
6.71,5.07,4.46,4.45,3.73,4.25,4.17,5.85,3.93,10.92,3.68,6.77,9.48,8.65,12.23,6.82,4.69,3.36,3.60,10.52,10.36,9.95,4.28,4.74,6.58,5.88,4.00,8.40,9.13,6.92,1.00
6.47,4.21,6.86,3.81,12.62,8.27,4.03,5.67,8.19,4.67,3.77,6.69,8.63,8.75,12.14,4.97,7.94,3.54,3.62,5.66,8.47,10.58,6.71,9.68,9.57,4.03,4.09,6.45,7.84,7.14,1.00
7.10,4.52,4.28,11.45,3.97,4.50,4.12,8.14,3.87,5.01,3.98,5.59,9.27,7.54,4.55,9.09,8.11,3.82,3.85,5.02,3.85,8.72,5.86,4.99,10.87,4.22,3.81,8.48,4.76,8.88,0.00
7.13,8.57,6.62,3.93,3.80,8.70,3.81,6.35,3.66,4.51,3.55,6.66,8.77,9.88,3.59,7.50,9.37,3.46,3.55,4.44,5.30,11.40,7.55,7.32,10.13,6.76,5.84,8.20,7.57,7.10,1.00
3.62,4.07,4.93,3.82,11.45,4.21,5.48,5.34,5.29,10.25,3.55,8.68,9.35,9.04,11.06,5.73,8.72,3.45,3.72,6.88,3.66,10.36,5.98,8.05,8.66,4.13,5.24,6.45,10.15,6.64,0.00
5.26,5.46,7.37,4.05,13.23,4.42,4.07,6.49,3.75,4.93,3.69,7.17,8.99,10.28,12.04,6.94,4.82,3.38,3.55,7.72,3.77,9.76,8.24,8.41,11.34,6.20,4.11,6.14,8.26,5.58,1.00
5.25,5.60,6.24,4.19,11.06,4.05,4.03,6.39,4.53,4.98,3.73,8.72,9.09,9.68,11.81,5.69,4.28,3.46,3.95,5.61,4.04,10.38,7.59,8.12,11.03,6.37,4.01,6.81,9.20,6.68,1.00
5.81,4.59,6.05,4.17,4.42,4.82,3.99,5.95,4.18,5.04,3.79,7.69,8.95,5.24,4.07,6.20,8.81,3.30,3.96,4.66,5.43,11.23,4.81,7.51,10.70,4.99,5.83,9.21,8.95,4.81,0.00
7.81,4.48,4.04,3.68,3.86,4.38,4.01,7.83,4.14,11.88,3.70,6.02,4.23,5.12,3.80,11.34,6.95,7.02,3.70,5.20,3.40,4.10,6.08,9.01,11.00,5.62,3.96,7.62,4.35,3.26,0.00
6.57,4.45,4.27,3.98,3.73,9.12,11.15,9.97,8.98,4.54,3.63,8.10,8.97,4.81,3.62,4.92,8.57,3.33,5.53,4.52,4.22,9.90,7.93,8.55,3.69,6.25,3.93,7.28,4.67,8.19,1.00
8.54,4.19,5.03,3.83,3.83,5.10,3.75,5.75,3.97,10.28,3.74,5.79,8.25,9.20,7.59,8.06,7.42,3.46,3.49,4.73,6.22,10.38,5.43,8.17,3.48,7.13,8.41,8.30,11.07,4.62,1.00
