10371_at,1052_at,10628_at,1117_at,1278_at,13_at,158295_at,201161_at,221692_at,22943_at,23764_at,29940_at,3488_at,3995_at,4103_at,5176_at,5352_at,53827_at,5480_at,54947_at,55612_at,57451_at,590_at,6275_at,6662_at,7179_at,84221_at,91607_at,9781_at,9882_at,label
5.40,7.42,10.57,4.43,3.94,3.87,3.77,11.09,3.72,4.33,9.52,4.77,4.20,5.58,3.94,7.98,5.73,9.62,9.78,7.43,11.58,4.49,3.79,14.75,11.35,3.21,6.82,3.50,3.88,7.73,1.00
4.53,9.24,9.56,5.13,4.10,3.95,3.89,11.04,4.20,4.32,8.35,5.27,4.09,5.36,3.96,5.65,7.80,9.54,10.49,6.59,11.85,4.30,3.68,13.61,10.01,3.33,6.97,3.85,4.53,8.67,1.00
5.27,3.96,9.67,4.17,4.05,3.86,3.99,10.20,7.08,6.80,7.13,6.84,4.11,6.53,4.10,4.63,10.03,4.69,9.09,7.19,9.82,11.07,3.85,6.05,7.98,3.98,7.97,3.55,8.16,11.67,0.00
10.31,6.78,11.54,4.87,3.94,3.70,3.98,9.54,3.93,4.68,8.60,4.78,4.21,6.55,3.81,4.53,8.72,11.60,10.97,8.08,8.60,4.25,3.72,10.33,9.44,3.44,6.58,3.77,7.56,8.66,1.00
6.32,5.70,8.83,4.41,4.07,4.00,6.76,4.15,10.18,8.62,10.43,4.86,5.46,7.62,3.89,4.84,9.61,9.94,8.86,8.44,5.05,4.36,10.83,10.15,4.15,3.50,8.28,4.48,9.53,9.08,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.93,8.33,9.69,4.55,4.18,4.17,4.30,8.19,3.99,9.23,10.07,9.29,4.05,7.35,10.78,8.37,7.31,12.09,9.43,4.51,10.00,4.29,3.73,6.46,10.49,6.89,7.70,3.92,4.06,8.88,0.00
7.62,8.52,11.23,4.50,6.29,4.08,9.03,7.18,9.15,4.49,9.45,7.21,4.62,8.21,4.11,4.04,9.99,6.05,10.99,6.84,4.91,4.85,3.91,8.45,7.60,3.35,7.95,4.09,7.64,7.83,0.00
6.28,6.89,5.53,4.81,12.87,3.50,7.50,9.72,5.21,8.34,9.46,10.61,4.79,6.69,3.94,4.86,10.21,9.59,10.46,4.62,6.51,9.56,5.62,8.52,7.96,8.08,6.68,8.60,7.83,6.49,0.00
9.00,7.56,7.38,4.65,4.18,3.75,8.42,9.05,4.27,8.60,8.51,11.36,4.13,7.97,10.37,5.46,4.17,7.56,10.61,5.33,5.39,4.78,4.02,5.64,3.73,3.45,8.14,5.22,7.14,5.24,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
