10371_at,3995_at,4069_at,53827_at,645722_at,6567_at,9781_at,label
SEMA3A,FADS3,LYZ,FXYD5,**,SLC16A2,RNF144A
ENSG00000075213,ENSG00000221968,ENSG00000090382,ENSG00000089327,**,ENSG00000147100,ENSG00000151692
7.89,8.92,3.79,10.43,4.10,8.02,5.96,0.00
9.28,6.61,3.88,10.56,5.74,7.63,7.50,1.00
5.50,8.62,3.71,11.15,4.83,6.66,7.66,0.00
5.23,9.49,3.66,11.58,5.64,6.53,7.51,0.00
3.87,8.74,3.85,9.64,8.56,8.86,7.42,0.00
7.59,6.50,3.79,7.68,9.34,6.41,4.31,1.00
7.33,8.61,6.58,11.60,6.87,4.36,7.98,1.00
5.69,8.15,3.85,10.09,5.68,7.25,6.63,1.00
7.09,8.42,3.72,7.30,4.05,7.88,7.12,0.00
4.59,7.54,4.19,10.27,3.90,8.90,6.43,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.51,10.09,3.82,8.97,4.41,4.60,4.07,0.00
4.50,9.29,4.27,8.58,4.30,4.94,4.78,0.00
4.33,7.22,3.66,11.65,4.53,7.88,3.87,0.00
3.95,7.10,4.28,4.62,5.02,7.92,7.41,0.00
5.01,7.22,3.90,12.11,4.07,10.42,7.22,0.00
7.03,8.34,3.95,10.53,6.78,5.45,8.33,1.00
5.21,9.31,3.75,9.28,4.79,8.84,6.40,0.00
9.30,6.64,6.27,10.49,7.09,4.68,5.45,1.00
4.52,6.28,4.13,4.44,4.43,7.14,5.73,0.00
9.13,7.05,7.75,11.06,4.55,5.20,3.70,1.00
8.55,7.86,3.79,9.07,5.66,8.91,7.16,0.00
5.83,7.93,3.72,9.17,9.74,6.53,6.04,1.00
4.55,7.22,4.34,10.03,4.69,4.36,5.47,0.00
5.40,5.58,11.90,9.62,4.06,7.91,3.88,1.00
4.53,5.36,12.38,9.54,4.15,4.73,4.53,1.00
5.27,6.53,3.92,4.69,6.40,5.91,8.16,0.00
10.31,6.55,4.05,11.60,7.15,5.95,7.56,1.00
6.32,7.62,6.15,9.94,7.03,4.73,9.53,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.93,7.35,3.83,12.09,4.16,4.70,4.06,0.00
7.62,8.21,3.70,6.05,4.38,4.51,7.64,0.00
6.28,6.69,3.79,9.59,4.19,6.81,7.83,0.00
9.00,7.97,3.55,7.56,7.44,8.47,7.14,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.40,7.46,4.58,11.31,4.28,4.30,7.88,1.00
5.44,9.95,3.84,6.81,4.57,4.76,4.73,0.00
10.43,7.74,3.78,12.06,4.98,4.32,4.25,1.00
4.45,7.55,3.74,9.26,5.18,5.35,5.60,0.00
4.89,4.81,12.24,10.69,4.04,5.15,7.59,1.00
4.42,9.11,3.81,7.95,4.83,7.72,7.35,0.00
8.57,6.18,3.89,10.52,6.46,7.07,3.84,1.00
4.07,6.54,11.49,11.62,4.21,4.50,9.46,1.00
5.49,7.59,3.69,9.83,6.94,4.87,9.65,1.00
5.12,8.03,3.91,6.39,4.91,8.12,5.34,0.00
5.34,8.50,3.82,10.07,5.28,10.00,6.81,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.04,10.09,3.78,11.76,4.76,7.79,6.13,0.00
8.98,9.21,3.74,11.54,5.38,6.72,6.97,0.00
4.46,7.08,4.01,8.22,4.28,7.16,9.22,0.00
6.93,8.80,3.71,11.76,4.49,7.01,7.78,0.00
5.17,7.14,3.77,10.90,4.27,5.74,7.36,0.00
7.90,7.12,8.00,9.79,3.86,4.37,5.27,1.00
7.99,6.08,3.89,9.96,4.40,7.15,6.32,0.00
6.13,8.19,3.88,10.01,4.25,4.35,7.15,1.00
8.86,6.24,3.81,12.05,8.42,9.01,6.47,1.00
8.50,7.60,4.13,10.62,5.57,5.40,6.76,1.00
4.39,7.74,3.89,10.19,4.84,4.43,6.90,1.00
4.50,9.69,3.70,11.11,4.14,4.64,7.44,0.00
4.70,8.02,4.14,6.64,4.18,4.75,8.15,0.00
4.58,6.70,9.19,10.52,4.27,4.74,9.59,0.00
4.41,7.29,12.81,4.81,7.95,4.52,8.07,1.00
7.82,7.22,3.81,9.17,5.30,5.39,6.83,0.00
4.37,5.73,4.02,6.11,4.37,4.33,4.26,0.00
9.30,6.73,3.96,7.06,4.75,6.58,6.69,1.00
6.69,7.35,6.23,10.95,4.00,4.61,4.29,1.00
8.11,8.54,3.64,10.35,7.27,8.26,4.41,0.00
9.21,8.43,3.68,10.08,4.75,10.35,7.23,0.00
7.33,9.52,3.53,9.94,5.04,7.25,6.10,0.00
6.65,5.60,4.28,12.35,4.46,6.15,4.59,1.00
5.30,5.48,4.29,12.72,8.08,4.34,9.51,1.00
6.72,7.69,4.25,10.52,7.36,5.38,9.17,1.00
6.61,7.89,5.21,10.75,6.59,5.29,8.51,1.00
7.99,9.23,3.59,12.01,4.59,6.81,4.21,0.00
7.12,8.03,4.40,11.80,6.28,4.30,8.73,1.00
6.69,7.53,13.56,9.35,4.33,4.35,4.55,1.00
4.95,8.21,3.82,9.52,5.02,4.17,4.23,0.00
9.00,7.42,6.28,10.89,4.46,4.18,4.73,1.00
4.45,6.19,4.39,9.65,4.90,4.61,8.84,1.00
4.60,7.67,3.58,10.62,7.31,4.89,9.63,1.00
4.34,5.27,10.10,9.94,3.98,4.72,6.75,1.00
5.75,7.97,4.01,10.74,6.45,4.24,8.96,1.00
3.98,8.24,3.73,10.12,5.30,9.71,5.34,0.00
5.46,8.85,3.72,9.86,6.18,8.11,4.38,0.00
7.50,7.50,3.71,9.82,4.23,4.96,6.58,0.00
4.40,10.21,4.36,8.15,4.49,4.48,5.19,0.00
4.24,7.95,3.89,9.10,4.35,4.77,8.89,0.00
5.06,5.67,3.77,9.49,4.52,4.69,6.01,1.00
4.23,8.30,5.60,10.57,5.75,5.08,9.21,1.00
4.43,5.48,4.00,12.40,4.16,4.33,5.09,1.00
5.50,6.84,3.83,11.33,4.35,6.13,8.77,1.00
5.32,7.60,4.03,9.77,4.46,4.96,5.43,0.00
4.52,5.70,7.65,9.81,4.18,4.60,9.38,1.00
6.41,5.31,3.95,7.36,4.53,4.84,7.72,1.00
6.07,7.46,3.52,11.60,4.29,4.36,6.36,0.00
10.66,7.88,3.74,4.31,6.58,7.55,4.01,0.00
4.26,4.90,11.60,11.17,4.26,4.64,8.79,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.81,5.91,4.03,10.36,7.00,8.02,4.34,1.00
7.01,8.27,3.76,9.83,9.46,6.16,8.34,1.00
4.35,8.05,8.36,11.14,4.44,4.67,9.23,1.00
9.18,9.93,3.82,12.15,5.26,5.17,3.98,0.00
6.87,7.88,3.86,10.03,5.01,6.94,4.22,0.00
10.02,7.91,4.13,11.53,4.51,4.79,4.13,1.00
6.63,9.24,3.95,10.37,4.11,8.30,4.55,0.00
5.08,7.10,3.85,5.32,4.07,4.91,4.43,0.00
4.26,8.75,3.79,9.71,6.52,7.83,6.49,0.00
8.52,8.41,3.83,11.27,5.73,8.36,4.72,0.00
7.39,10.54,3.67,12.32,7.13,7.72,5.90,0.00
6.73,6.98,14.07,9.93,3.89,4.77,4.21,1.00
8.10,6.24,13.18,10.64,4.05,4.90,4.57,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.87,8.85,4.99,13.40,8.28,4.49,9.42,1.00
4.58,7.39,3.84,9.23,4.41,4.54,4.70,0.00
4.69,8.15,3.92,6.27,9.82,6.89,4.29,0.00
4.38,7.57,7.72,5.83,4.05,10.25,4.66,0.00
6.50,8.70,3.84,10.65,8.81,7.45,7.44,1.00
4.53,8.15,7.69,10.96,4.50,4.42,9.25,1.00
4.67,7.13,4.24,9.91,6.26,4.69,9.90,1.00
4.44,7.64,3.94,9.96,4.64,4.89,5.64,0.00
5.89,7.71,3.69,10.27,4.93,7.40,7.31,0.00
7.70,8.48,3.67,10.42,5.69,7.62,5.41,0.00
6.86,6.55,3.67,8.74,3.83,6.96,8.81,1.00
10.60,7.62,4.10,9.85,6.91,7.75,7.03,1.00
