1293_at,2697_at,4016_at,4312_at,55819_at,5891_at,6003_at,80323_at,84958_at,label
4.17,3.83,3.45,3.55,10.14,4.73,3.34,3.91,7.82,1
4.16,4.85,4.11,3.76,3.94,6.87,5.28,3.99,7.33,0
4.6,9.17,12.64,3.48,10.2,8.73,3.52,4.21,5.12,0
7.96,3.67,5.91,3.48,11.42,5.68,3.76,4.3,9.18,1
4.11,4.02,3.41,3.67,11.6,4.73,3.69,3.73,8.33,1
6.23,3.64,7.83,3.52,8.07,6.2,3.32,3.89,5.11,0
10.12,9.14,4.91,10.71,9,8.57,3.43,6.24,4.5,0
4.16,11.56,10.96,4.08,8.88,7.57,3.47,4.06,5.56,1
3.94,12.79,4.12,3.71,8.57,6.7,3.53,9.32,4.33,1
4.12,3.52,7.92,3.2,9.04,5.68,3.46,5.63,7.7,1
4.31,9.78,5.47,3.71,9.21,6.84,3.48,6.66,8.8,1
4.32,13.13,7.63,3.71,9.57,7.4,8.1,4.32,5.11,0
4.11,6.04,6.06,3.81,8.46,6.64,3.24,5.28,7.21,1
4.27,9.8,7.45,5.67,10.37,6.76,3.38,4.81,7.82,1
3.83,9.42,7.59,3.83,11.04,6.38,3.39,7.74,7.23,1
4.18,5.4,3.32,3.62,9.35,6.61,3.4,8.49,7.37,1
4.11,12.67,5.7,3.77,9.3,8.74,3.36,7.7,4.52,1
4.34,3.75,5.24,3.62,8.48,4.86,11.37,3.9,5.05,0
3.92,7.19,3.15,3.41,9.15,7.72,3.21,6.44,7.34,1
4.3,10.99,11.27,3.56,9.2,11.07,3.46,3.83,4.78,0
3.99,10.9,4.37,6.19,9.39,8.3,3.47,6.36,5.13,1
4.18,10.03,7.88,7.52,9.08,6.49,3.48,6.2,5.36,0
4.6,3.58,5.22,3.62,9.84,4.77,3.55,4.04,4.19,1
4.51,3.46,5.89,6.87,8.57,7.51,3.57,6.89,6.92,1
3.62,11.51,5.26,3.7,9.08,6.6,3.38,7.46,8.01,1
4.3,3.59,5.12,4.07,7.82,6.77,3.38,6.17,8.09,1
4.3,11.11,6.42,7.77,9.3,7.56,3.29,8.37,4.69,0
5.01,5.28,3.94,3.36,10.11,5.29,3.47,4.11,4.49,0
4.18,10.13,5.77,13.59,10.09,10.18,3.51,5.86,4.79,0
6.8,13.27,7.11,12.02,10.01,5.94,3.26,3.93,4.92,0
4.15,5.21,3.69,3.68,10.2,6.37,4.86,6.7,8.08,1
3.95,9.61,9.37,3.31,9.31,6.13,3.43,5.5,6.63,1
5.09,3.58,7,12.05,9.1,6.81,3.76,6.92,5.41,1
3.94,11.93,3.54,3.58,6.22,7.13,3.66,6.36,7.14,1
3.99,3.69,3.39,3.49,10.8,8.42,3.46,3.69,7.79,0
3.94,3.72,4.29,3.74,11.9,6.37,3.9,3.83,7.96,1
4.65,3.48,4,3.47,4.61,5.43,11.26,4.25,5.3,0
8.69,3.68,6.72,6.85,4.4,8.21,3.57,7.36,8.4,0
4.86,12.57,9.72,12.23,8.9,7.36,3.34,3.79,9.18,0
4.55,11.64,5.82,10.25,6.11,5.4,7.21,7.27,5.41,0
4.87,4,5.55,3.86,10.18,7.39,3.49,4.2,8.58,0
4.91,3.95,3.26,3.55,4.02,5.37,9.82,4.23,6.42,0
4.35,3.65,9.31,3.74,9.01,8.32,3.52,6.26,8.05,0
4.02,4.02,9.57,3.41,9.12,8.45,3.25,5.85,7.58,1
3.87,5.05,3.67,3.74,6.07,5.54,3.42,3.94,7.04,1
4.84,11.58,7.48,9.9,10.05,7.26,3.24,7.4,4.65,0
4.07,3.88,3.78,7.45,9.48,6.96,3.69,4.02,4.95,0
4.18,3.88,3.36,3.14,10.23,7.35,3.61,4,8.73,1
4.2,10.05,9.97,3.68,7.03,4.57,3.36,6.29,7.45,1
4.84,3.93,3.38,13.72,10.08,8.93,3.34,3.6,4.19,0
4.38,11.09,6.1,12.88,8.19,7.93,3.58,6.74,6.95,1
4.82,11.9,9.88,8.64,7.93,9.49,3.53,6.3,5.17,0
4.6,11.64,9.18,4.06,3.98,7.84,3.43,7.62,8.32,1
13.22,11.35,11.86,4.16,8.77,6.76,3.49,4.01,5.51,0
4.11,11.68,3.54,5.77,9.39,4.82,3.56,3.95,8.19,1
7.38,3.67,3.58,4.01,9.71,10.22,3.38,3.62,4.39,0
4.3,3.8,3.19,10.66,10.16,9.11,3.28,3.79,5.1,0
4.17,9.63,8.12,3.35,8.62,7.74,3.4,7.56,7.15,1
4.19,3.72,3.95,3.81,3.75,5.67,3.64,3.46,9.86,1
9.52,7.33,7.64,8.4,8.35,6.08,9.57,4.33,4.82,0
5.54,4.09,8.01,3.29,9.75,5.07,3.45,4.74,5.09,0
5.42,13,3.2,7.85,10.16,6.5,3.5,3.97,4.89,0
12.7,11.65,9.49,8.43,9.44,10.44,3.47,5.57,4.75,0
4.08,3.78,3.76,3.59,4.52,4.19,11,4.3,8.85,0
11.28,6.89,4.01,3.57,10.07,5.1,3.44,3.99,4.67,0
13.45,10.31,10.41,7.64,10.09,7.09,3.51,3.43,4.51,0
4.1,4.23,8.23,10.4,10.2,7.52,3.38,4.25,3.99,0
4.22,4.09,9.12,4.36,9.61,5.82,3.41,5.53,10.58,1
3.84,3.85,8.18,3.62,9.82,5.99,3.32,3.74,5.75,0
4.93,10.59,8.01,4.21,9.19,9.78,3.46,3.76,5.58,0
8.56,11.37,8.51,6.08,10.9,6.39,3.35,3.89,4.19,0
3.92,11.17,4,8.84,8.77,6.51,3.4,4.08,7.65,1
3.65,10.46,6.6,6.58,8.11,9.24,3.5,6.55,7.23,1
4.27,13.69,3.51,7.19,9.98,5.18,3.41,4.13,4.29,1
3.92,3.58,5.39,3.53,9.15,6.46,3.4,4.31,5.81,0
4.06,3.42,3.85,3.65,4.2,6.08,5.07,4.03,5.05,0
12.83,12.16,12.7,12.47,8.42,6.72,3.42,3.74,3.88,0
13.35,12.19,11.06,7.47,7.12,9.05,3.4,4.04,4.3,0
4.12,4.28,3.51,5.22,9.32,9.46,3.47,4.18,5.32,0
4.68,11.99,3.37,11.09,9.27,7.8,3.81,3.84,4.13,0
4.27,5.52,3.69,13.77,9.82,10.85,3.37,3.76,3.98,0
3.82,3.7,4.87,10.24,10.38,9.59,3.75,4.17,4.58,0
4.69,3.5,3.57,13.9,8.98,11.55,3.38,3.83,4.42,0
13.72,11.15,11.33,4.93,9.95,5.96,3.93,3.83,4.52,0
3.91,3.94,7.08,3.42,9.11,6.44,3.43,5.58,7.98,1
4.15,3.72,10.4,3.27,9.66,5.89,3.45,4.06,8,0
