10098_at,10643_at,11012_at,114327_at,114569_at,1293_at,146857_at,1543_at,1573_at,25797_at,2878_at,29113_at,3248_at,3624_at,389376_at,4016_at,4038_at,4312_at,53827_at,55353_at,55819_at,57535_at,5891_at,59277_at,6003_at,654433_at,7306_at,83988_at,84958_at,9770_at,label
7.26,9.32,10.54,7.02,12.92,3.98,7.79,5.05,5.96,3.89,4.19,4.98,3.85,5.92,3.99,3.29,4.95,4.40,9.56,10.92,8.99,4.22,8.28,11.24,3.33,8.08,4.11,3.72,4.11,4.57,1.00
9.78,10.96,9.72,6.93,12.29,4.09,3.45,6.44,6.71,4.26,4.29,9.87,3.85,5.78,4.36,6.38,5.07,7.33,12.09,12.05,7.25,4.42,9.28,9.22,3.43,7.99,3.65,3.76,7.33,4.38,0.00
4.96,11.65,9.76,7.72,10.43,5.16,6.18,5.08,6.36,3.52,9.47,4.97,4.57,4.16,3.80,8.80,5.02,9.81,6.05,11.88,7.92,4.32,5.04,6.44,3.43,4.48,7.59,4.24,4.76,4.20,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.65,4.80,5.54,6.31,12.72,5.01,3.72,5.40,6.87,3.61,3.99,5.50,5.34,9.07,7.25,9.83,5.03,4.01,11.31,12.70,9.37,4.59,6.06,7.22,3.39,6.23,3.69,5.25,8.05,4.08,1.00
5.66,4.21,5.16,7.67,12.47,4.21,3.55,6.02,4.65,3.95,6.27,5.45,3.85,4.12,3.82,8.77,4.54,3.37,9.26,12.66,4.34,8.86,7.00,8.66,3.46,4.25,4.75,5.64,7.67,4.14,0.00
5.95,8.11,4.85,7.63,4.01,3.95,3.57,5.86,4.00,7.15,9.04,4.97,4.03,4.17,3.62,3.76,5.39,3.52,7.95,12.35,9.77,4.37,6.09,3.62,3.40,4.39,4.66,6.82,4.93,5.63,0.00
9.70,10.94,4.86,8.20,4.02,10.27,3.47,5.24,6.34,7.86,4.30,4.88,3.99,8.91,3.69,10.44,6.27,14.24,10.52,12.14,8.29,4.46,12.52,9.07,3.33,4.37,4.06,3.65,4.15,3.85,0.00
5.64,10.04,6.49,7.60,12.07,4.20,6.39,7.36,5.96,3.52,7.44,5.05,4.66,3.94,3.58,3.33,6.37,8.22,8.58,12.25,8.81,4.83,6.53,6.88,3.47,7.16,9.42,3.66,7.54,3.97,1.00
4.49,4.11,4.77,7.68,4.18,5.84,3.31,5.27,3.92,11.09,4.45,5.47,3.94,4.09,3.75,5.15,5.88,3.91,6.39,12.25,9.69,4.33,11.57,3.60,3.50,8.37,4.04,3.98,8.58,4.38,0.00
6.74,11.53,8.58,8.34,12.40,3.81,6.00,5.54,5.14,5.22,11.56,5.60,8.29,6.09,3.82,4.65,8.27,5.93,12.55,11.82,8.32,4.31,9.01,10.38,3.35,7.25,4.25,3.83,7.80,4.13,1.00
9.47,10.98,4.94,6.91,12.32,4.13,8.13,10.83,4.52,3.59,9.37,4.88,9.68,4.01,12.53,5.37,4.57,9.90,8.00,10.33,9.65,4.37,6.52,9.27,3.43,4.01,3.80,7.08,8.72,7.35,1.00
9.26,10.77,4.70,6.66,12.69,4.07,7.52,9.10,5.27,5.77,9.40,4.92,9.18,4.54,9.79,9.78,4.77,3.79,9.66,11.87,9.08,4.32,6.56,10.84,3.29,7.46,3.91,4.23,7.93,4.23,1.00
8.61,4.85,4.79,7.40,13.02,4.21,8.28,5.08,6.47,8.17,11.52,5.14,4.63,3.90,11.12,5.87,4.53,9.95,9.96,11.97,9.01,4.21,6.17,10.11,3.41,8.48,4.14,4.13,6.86,6.21,0.00
9.21,10.77,4.56,7.17,12.48,3.83,5.29,5.58,7.79,3.39,4.32,4.92,9.32,5.44,11.25,5.23,5.02,4.51,10.73,12.20,8.40,4.50,7.55,11.00,3.39,9.48,3.93,3.48,6.01,7.90,1.00
