10396_at,10653_at,10924_at,221711_at,53832_at,55510_at,85027_at,9473_at,95681_at,label
5.21,11.17,3.65,3.99,3.90,3.97,5.06,5.01,9.20,0.00
8.11,10.02,3.51,8.38,3.94,3.79,9.72,5.94,9.78,1.00
8.49,4.33,7.39,3.98,4.04,4.36,6.97,5.73,8.40,1.00
8.25,9.56,4.01,4.16,4.03,3.83,9.69,7.45,8.31,1.00
5.20,13.66,5.22,3.77,6.74,3.56,7.26,4.57,8.52,1.00
5.96,3.94,8.60,4.08,4.03,4.02,4.77,8.15,9.09,1.00
5.77,10.44,3.90,4.02,3.96,4.06,5.08,4.74,7.66,1.00
6.65,4.26,7.96,3.90,3.92,3.78,4.78,7.02,8.33,1.00
3.51,11.43,7.36,3.58,7.30,7.68,5.49,4.40,8.18,0.00
3.80,9.97,7.55,5.48,4.33,3.68,7.69,4.92,9.44,0.00
4.17,3.98,8.11,4.31,3.92,6.42,9.35,4.71,9.51,1.00
4.37,10.85,6.07,5.17,3.68,3.63,6.88,7.91,8.24,0.00
3.60,11.64,3.70,4.49,3.86,3.32,6.73,8.31,9.27,1.00
3.63,10.46,6.45,6.64,3.64,8.58,6.91,6.07,8.40,0.00
4.68,3.53,7.04,3.86,3.80,3.84,7.11,5.84,8.89,0.00
3.61,9.05,8.23,4.79,4.09,3.71,7.80,4.37,9.84,0.00
5.60,3.98,7.44,4.02,3.80,3.58,5.00,5.15,7.72,1.00
4.02,12.50,6.72,4.70,8.63,3.86,6.55,5.33,7.99,0.00
5.21,11.33,9.43,3.78,8.73,3.61,9.76,4.36,8.66,0.00
6.85,10.95,9.62,3.86,9.02,3.77,10.25,4.45,8.09,1.00
6.18,11.07,6.09,5.30,7.50,3.47,6.23,4.52,8.60,1.00
3.55,11.90,7.44,4.00,8.37,7.19,4.93,4.40,8.34,0.00
3.87,12.17,8.72,3.86,4.19,7.00,7.10,4.55,8.45,0.00
6.71,11.95,6.89,3.85,5.72,3.78,7.89,4.25,8.75,0.00
3.54,4.12,8.14,5.45,3.82,7.70,9.70,5.70,10.47,1.00
3.75,4.09,8.41,5.08,4.18,8.63,6.60,7.03,9.22,1.00
5.33,11.65,9.21,4.20,4.04,3.84,6.77,4.15,6.97,0.00
3.56,11.96,3.48,5.84,5.55,3.66,7.88,4.21,8.11,1.00
4.38,3.70,9.35,4.32,3.73,3.75,6.42,4.34,9.12,0.00
3.76,6.13,9.31,7.47,3.66,7.38,7.32,5.96,6.59,1.00
6.39,7.25,3.62,5.24,4.05,3.73,5.43,5.24,10.20,0.00
3.69,11.18,8.37,3.98,4.34,3.71,9.42,4.40,8.00,0.00
7.09,4.23,6.15,3.84,3.92,7.66,5.22,8.17,8.23,1.00
8.58,4.98,3.71,4.46,3.87,6.38,7.73,4.31,9.51,1.00
4.67,5.39,7.68,3.86,3.94,6.13,10.17,7.52,7.75,1.00
4.52,11.46,7.12,3.76,6.77,3.54,6.41,4.65,7.90,0.00
3.54,3.87,7.33,5.51,4.03,3.97,4.91,4.31,8.41,1.00
4.97,10.15,9.72,3.75,4.58,3.54,7.27,4.76,9.01,0.00
8.01,9.72,6.45,4.37,5.35,4.20,3.84,4.03,11.38,0.00
3.93,4.73,8.49,5.99,3.91,4.76,6.98,4.79,9.30,1.00
3.61,8.54,7.26,6.40,3.95,7.64,7.29,5.66,7.95,1.00
3.43,8.84,7.30,6.42,3.97,7.65,6.45,4.76,7.73,1.00
4.66,11.04,7.79,3.81,4.39,4.09,5.97,4.99,8.49,0.00
6.73,10.77,7.10,3.80,4.76,3.75,8.55,4.49,7.43,1.00
3.59,11.97,8.26,8.00,4.00,4.06,9.51,4.43,7.56,1.00
3.88,9.36,6.11,6.77,3.91,9.09,6.51,4.26,7.96,1.00
5.07,12.39,7.01,5.67,4.06,7.35,5.71,4.33,8.23,0.00
3.73,11.52,6.15,5.91,4.64,3.60,5.27,4.57,7.36,0.00
5.12,12.39,7.21,5.13,3.81,9.15,8.48,4.78,8.95,0.00
4.00,5.06,6.52,5.16,3.96,4.07,7.37,6.02,7.53,1.00
4.80,11.57,5.63,4.19,4.13,5.52,5.44,4.19,7.67,0.00
3.58,4.32,7.79,5.17,3.89,3.95,5.84,4.35,8.37,0.00
3.88,3.83,5.87,4.07,3.85,3.55,5.50,4.43,8.14,0.00
4.10,10.19,6.67,6.07,3.78,3.87,7.35,5.28,8.55,1.00
