1000_at,10243_at,10253_at,10628_at,10656_at,10974_at,11167_at,1832_at,1843_at,1958_at,222235_at,22943_at,26071_at,26136_at,26157_at,347733_at,3887_at,4050_at,4255_at,51477_at,54742_at,54749_at,558_at,6446_at,6662_at,6867_at,7042_at,79772_at,8612_at,92747_at,label
10.02,7.46,7.58,8.38,9.16,4.07,11.90,4.13,8.94,9.18,8.51,4.63,8.06,4.91,4.28,3.82,4.97,4.36,8.19,5.34,5.22,9.34,9.96,8.26,8.87,8.59,6.18,6.73,3.97,3.86,0.00
5.10,8.83,8.12,11.35,5.50,11.68,4.98,10.62,6.52,6.26,3.86,10.93,9.05,9.38,3.86,7.88,4.55,4.39,4.66,9.92,4.20,9.95,4.99,4.69,8.21,7.56,4.08,4.72,6.21,4.25,1.00
7.59,7.64,9.16,8.79,6.59,4.66,4.30,4.16,8.67,5.13,3.93,8.13,3.89,4.63,8.69,3.89,4.71,4.93,7.87,7.04,4.02,9.31,5.08,7.28,3.73,8.43,4.19,4.60,4.19,4.20,1.00
10.37,6.86,6.98,7.72,8.74,4.67,12.41,5.34,8.45,4.75,4.73,4.32,9.39,10.76,4.67,3.97,4.96,5.17,9.02,5.01,4.02,11.93,9.57,9.30,6.38,8.20,9.05,5.56,4.23,3.96,0.00
10.73,7.95,9.74,11.14,8.52,8.75,11.28,7.53,8.32,7.94,3.67,11.14,9.84,10.04,4.09,3.80,4.74,4.25,5.72,5.63,4.39,4.31,10.77,10.16,10.16,8.23,5.07,7.65,7.75,3.89,1.00
8.60,6.58,8.52,6.02,5.89,4.33,10.32,5.25,6.78,8.75,3.76,5.00,8.44,4.33,8.37,9.47,8.19,4.78,4.26,5.04,4.01,11.13,9.10,9.47,8.37,8.31,6.64,7.71,6.69,3.93,0.00
11.10,6.31,8.09,9.45,6.03,4.53,12.91,10.24,9.25,7.53,4.25,14.05,8.78,4.70,4.43,5.80,8.41,4.34,5.20,5.39,3.94,9.66,9.67,10.28,8.55,8.55,6.97,4.78,9.97,4.03,0.00
3.84,7.47,4.15,5.17,4.78,4.35,10.83,9.89,7.07,8.26,4.00,9.30,9.11,4.39,5.36,11.82,4.26,4.81,9.33,11.15,4.21,9.72,6.34,11.90,11.00,8.62,3.81,4.54,5.60,4.19,0.00
8.30,8.10,12.41,7.13,4.18,4.18,10.04,4.36,5.19,7.36,3.74,12.47,9.00,9.09,8.03,5.20,4.78,4.60,8.16,10.98,4.07,4.64,6.81,4.44,7.47,6.84,4.21,4.88,4.43,4.01,1.00
8.57,7.27,11.43,8.18,8.20,4.42,6.58,7.81,6.18,7.18,3.88,11.59,9.09,8.82,5.48,6.28,6.36,4.38,8.04,7.83,7.97,8.96,9.33,11.09,3.79,8.19,4.12,6.05,9.95,3.90,1.00
4.61,9.02,4.87,10.26,5.94,10.70,7.00,11.80,6.19,7.52,3.69,6.52,8.01,10.55,4.93,3.62,12.91,4.29,8.02,8.79,5.07,6.09,4.72,4.99,5.82,9.20,5.49,3.85,7.66,5.86,0.00
9.80,7.83,8.53,12.91,6.61,9.48,11.90,11.05,10.55,7.61,7.75,10.52,8.96,10.02,7.10,4.13,11.31,4.66,4.74,8.96,4.14,4.12,9.42,12.04,9.02,7.90,4.88,5.80,7.61,3.71,1.00
9.71,6.68,7.32,11.82,4.83,4.40,12.68,5.51,8.16,6.62,4.35,4.33,8.15,9.02,4.25,4.02,5.32,4.15,7.96,5.52,5.39,11.22,10.93,8.86,8.26,8.70,8.48,7.70,4.62,3.94,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.13,4.30,4.18,9.22,7.03,3.95,4.31,4.29,4.95,5.72,4.45,4.35,4.42,9.76,4.21,11.30,4.66,7.79,8.27,6.00,3.96,4.73,4.85,5.14,3.85,9.39,4.10,5.48,5.02,4.28,0.00
4.50,3.99,4.77,8.97,4.93,4.85,4.38,5.00,4.89,6.72,4.24,4.88,4.64,8.80,7.20,8.32,5.34,8.01,7.83,5.25,4.18,4.60,4.98,7.21,4.09,8.80,4.13,5.05,3.98,4.65,0.00
4.32,6.62,7.46,9.51,5.82,5.60,8.87,11.22,8.18,8.19,3.59,6.75,9.50,8.78,5.39,3.82,4.77,4.59,8.09,10.39,6.12,4.73,4.51,7.26,8.61,8.74,3.86,4.04,9.42,4.26,0.00
5.12,7.59,5.14,11.55,9.42,12.51,9.06,12.98,7.46,7.32,3.55,8.35,7.68,10.12,3.76,3.76,4.47,4.64,7.86,6.44,4.24,8.57,5.01,5.32,7.95,7.46,3.65,4.78,7.26,8.68,0.00
9.50,6.95,8.97,6.84,6.88,7.40,12.61,4.76,7.32,8.59,3.90,12.70,10.75,6.22,4.16,4.07,5.72,4.24,8.22,9.77,8.18,4.31,9.25,10.84,8.23,9.61,5.04,5.88,8.73,3.87,0.00
6.53,7.46,6.61,11.48,5.56,9.64,9.26,13.04,7.69,9.05,3.69,11.40,7.68,10.26,7.35,3.43,5.40,4.98,8.11,9.04,7.10,4.33,7.81,11.81,8.25,7.00,7.26,5.05,10.05,3.95,1.00
9.78,6.31,7.61,9.04,8.41,10.01,12.82,9.78,9.23,8.94,7.02,12.29,8.76,9.93,4.95,6.41,4.46,4.45,7.37,5.66,7.36,9.85,10.14,9.67,7.53,9.56,7.23,8.51,6.93,3.95,0.00
5.32,7.30,7.44,6.68,10.28,4.64,8.22,10.77,6.32,6.63,3.69,12.18,8.19,10.65,5.18,4.24,5.07,5.00,6.67,8.61,4.03,10.48,9.22,7.08,11.04,9.70,6.95,8.67,9.61,4.78,1.00
4.70,6.93,4.04,10.42,7.61,12.50,4.70,12.01,9.15,7.51,3.88,4.91,8.40,9.13,4.09,3.86,4.95,5.88,9.17,8.04,4.24,7.96,4.54,5.03,6.02,7.52,4.22,5.64,6.52,4.49,0.00
9.75,6.14,8.90,9.01,9.91,4.87,11.32,5.09,6.63,7.76,4.10,10.21,8.93,4.71,5.28,9.87,5.03,4.50,4.82,6.74,4.18,9.50,9.42,7.85,9.66,9.56,6.80,7.98,7.16,3.96,0.00
10.16,7.43,11.94,8.49,9.64,4.03,9.95,4.37,6.07,7.09,3.78,12.40,9.37,4.51,6.09,10.58,4.87,4.19,4.11,8.38,4.21,10.39,9.11,10.93,8.67,7.66,4.71,5.10,4.94,4.02,1.00
