2172_at,29968_at,4316_at,50619_at,5243_at,55769_at,56975_at,79710_at,8460_at,8974_at,91607_at,label
4.63,12.43,4.05,4.99,4.96,8.00,3.63,7.29,8.93,9.39,4.55,1.00
4.34,10.03,3.77,4.71,3.90,8.09,8.28,8.35,8.64,10.60,8.10,0.00
4.27,11.35,3.86,5.35,3.85,8.06,10.05,4.47,9.03,13.04,3.93,1.00
4.24,9.32,3.92,6.28,4.19,7.27,10.15,8.76,9.27,11.90,5.99,0.00
4.25,11.78,4.11,4.72,3.99,8.65,9.40,8.56,9.52,12.35,7.14,0.00
4.54,10.61,4.29,5.57,3.88,7.17,7.10,8.62,6.73,9.44,3.86,0.00
4.18,9.77,4.34,4.07,4.15,8.58,9.09,8.54,8.86,11.11,7.26,0.00
4.22,10.18,3.66,4.30,5.05,8.58,9.55,7.22,9.76,10.89,5.04,0.00
4.36,11.09,4.01,4.91,4.49,5.42,9.23,8.30,9.03,9.41,7.47,1.00
4.58,11.65,4.37,5.57,4.06,7.55,9.34,7.64,9.54,10.21,5.08,1.00
4.71,10.62,4.37,5.67,4.20,9.52,5.35,7.87,5.93,10.53,3.55,0.00
4.88,10.90,4.22,6.01,3.90,8.57,4.13,9.69,6.26,9.16,3.69,0.00
4.54,9.69,4.25,6.98,3.80,8.46,3.78,5.04,5.48,3.82,4.02,1.00
4.32,4.53,9.86,5.69,3.79,6.96,6.76,7.53,6.80,10.00,3.60,0.00
8.20,5.17,4.14,8.48,6.08,7.73,4.11,7.03,5.72,7.50,8.73,1.00
4.28,9.35,3.63,5.07,3.80,8.40,4.84,8.61,6.72,11.32,5.26,0.00
4.56,12.53,11.89,5.31,4.20,7.37,4.75,5.46,8.11,10.91,3.43,0.00
10.69,12.03,5.58,7.52,3.89,6.86,7.50,10.07,4.78,9.33,3.53,1.00
7.21,10.15,4.08,4.74,3.68,8.13,7.97,6.94,7.18,7.32,3.63,1.00
8.94,11.21,4.17,5.74,7.56,8.76,7.78,8.35,7.70,9.26,3.57,1.00
4.00,9.94,3.73,4.57,7.91,9.02,8.23,8.60,8.16,10.01,8.31,0.00
4.50,10.95,4.20,4.77,3.97,8.20,7.87,8.23,8.91,8.79,9.30,1.00
4.31,10.99,3.86,5.50,7.16,7.57,8.34,8.25,7.95,9.89,7.17,0.00
7.82,8.38,5.61,4.58,6.81,7.07,8.95,9.94,11.61,12.17,3.90,0.00
4.22,11.34,8.57,5.03,4.66,9.69,8.29,10.43,7.11,9.13,3.70,0.00
5.38,12.77,3.95,9.17,3.71,9.26,4.30,4.57,6.58,3.61,8.37,1.00
7.81,12.01,10.93,7.92,5.77,8.14,3.70,6.85,4.70,3.63,8.29,1.00
5.57,9.16,4.41,7.51,4.03,9.53,3.88,8.13,5.66,6.00,3.70,0.00
5.72,10.71,4.44,8.22,4.38,6.13,4.12,6.46,4.40,3.63,3.90,1.00
4.18,11.26,4.16,8.09,3.89,8.19,6.26,6.85,7.91,8.73,9.23,1.00
4.61,12.86,4.06,9.14,4.80,8.36,3.86,8.15,6.25,7.44,3.73,1.00
6.49,11.66,12.85,6.28,3.96,3.67,4.05,9.37,4.07,5.90,3.38,0.00
6.90,11.99,7.08,7.62,4.50,8.46,5.18,4.60,5.17,4.22,7.68,1.00
4.84,11.36,4.01,9.12,4.66,7.89,4.59,4.61,4.52,4.33,8.09,1.00
5.21,10.65,5.69,4.35,5.32,6.93,4.74,7.19,8.39,10.47,3.78,0.00
5.24,10.04,4.41,7.70,3.74,6.58,4.76,7.47,7.79,6.24,5.27,1.00
9.68,5.18,5.22,4.88,6.36,9.75,10.31,9.06,8.94,11.92,3.58,0.00
4.43,9.25,4.10,8.27,3.64,5.91,3.71,7.49,10.05,7.22,4.50,1.00
4.50,10.68,4.35,8.40,3.91,6.84,3.79,6.93,6.11,4.18,4.39,1.00
4.95,13.16,4.38,7.59,4.35,6.07,4.46,7.10,7.06,7.88,5.68,1.00
10.23,11.33,4.32,8.07,6.27,7.51,4.38,5.88,5.92,5.16,8.80,1.00
5.40,10.58,3.84,4.40,5.10,8.69,10.08,7.32,8.71,12.40,7.68,1.00
4.44,11.59,4.04,4.41,3.85,8.11,7.44,7.64,7.60,8.58,7.82,1.00
7.81,10.36,4.13,7.74,5.92,8.58,3.45,4.22,4.89,3.94,9.18,1.00
4.50,11.96,10.10,6.09,3.81,7.40,7.36,7.14,7.65,9.52,3.62,0.00
5.58,10.56,4.40,5.13,4.22,8.48,4.86,6.76,6.81,8.97,8.65,1.00
4.97,10.91,4.30,6.56,3.80,7.76,9.01,9.61,9.65,10.31,3.65,0.00
4.64,10.34,4.35,6.61,3.79,3.24,5.33,8.82,8.10,9.32,3.84,1.00
4.75,10.16,4.89,6.00,3.60,7.32,7.49,8.21,8.19,10.77,3.60,0.00
5.09,11.36,6.72,5.97,3.90,6.75,6.41,5.74,6.85,8.64,8.37,1.00
8.19,11.05,4.48,5.54,3.96,8.27,7.51,7.12,6.68,9.52,9.53,1.00
5.55,11.16,3.93,6.89,4.13,3.20,4.09,7.49,7.81,7.19,3.95,1.00
5.80,12.64,4.08,8.39,4.24,8.11,3.83,8.38,9.00,8.67,3.91,0.00
5.10,10.48,9.60,5.20,3.99,8.33,8.00,9.55,6.41,9.90,3.59,0.00
4.19,10.28,4.03,6.10,3.78,4.11,7.36,7.61,10.14,10.22,3.86,0.00
