1545_at,2534_at,2627_at,5728_at,58480_at,90141_at,9603_at,label
5.02,4.56,8.11,8.72,10.14,8.96,4.57,1.00
4.30,7.58,6.74,9.06,4.27,7.92,5.17,1.00
4.33,7.17,4.45,9.99,4.32,7.48,3.59,1.00
4.29,9.36,5.11,8.20,4.13,8.99,6.04,0.00
4.47,6.52,6.39,4.52,4.84,7.37,7.66,0.00
7.69,4.51,6.80,8.34,7.86,8.74,5.42,1.00
5.04,5.55,4.00,8.29,4.91,8.06,4.82,1.00
4.01,9.78,3.80,11.17,10.00,7.39,3.72,1.00
4.04,7.95,4.25,9.87,4.47,8.17,8.17,1.00
4.20,5.50,3.98,7.63,4.95,9.49,5.62,0.00
6.11,5.25,8.75,7.82,5.50,7.59,7.17,1.00
11.05,10.49,3.84,10.05,4.03,8.15,6.14,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4.10,7.27,4.51,8.84,3.89,7.75,4.17,0.00
9.62,5.57,5.50,6.80,5.14,9.45,4.36,0.00
4.10,4.12,7.42,8.13,5.96,8.78,7.45,1.00
9.22,4.06,4.73,8.54,4.41,8.62,8.27,1.00
10.48,8.56,9.28,8.12,3.94,8.61,8.02,0.00
6.34,7.69,4.89,8.77,6.09,9.44,8.74,1.00
7.76,3.98,9.34,8.43,6.84,9.70,4.75,0.00
7.50,4.26,7.00,9.43,8.38,10.07,9.31,1.00
4.44,7.08,4.43,9.66,7.50,8.50,5.89,1.00
5.83,5.46,3.93,9.24,4.14,7.82,5.69,1.00
4.25,8.84,4.26,7.75,4.45,8.10,6.55,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
10.45,7.35,7.25,9.77,6.13,8.66,6.86,0.00
8.06,6.02,8.84,8.58,4.22,8.14,6.12,0.00
4.42,8.48,10.49,8.20,3.77,7.27,4.23,0.00
5.28,6.85,3.81,10.24,5.84,8.77,5.62,1.00
4.32,6.97,4.19,10.71,4.24,8.08,6.05,1.00
3.96,8.66,4.30,10.41,3.86,7.74,5.18,0.00
4.40,5.53,4.69,7.51,5.71,9.67,8.25,0.00
4.28,7.89,8.09,8.19,3.84,8.63,7.64,0.00
9.03,7.09,4.08,8.61,3.79,8.02,8.77,1.00
3.96,9.17,7.34,9.49,7.25,7.41,6.80,1.00
10.14,7.41,3.67,8.90,4.77,9.06,8.67,1.00
3.96,8.57,4.75,8.18,4.09,7.45,6.26,1.00
4.13,4.60,3.90,8.01,4.56,9.44,9.02,1.00
6.24,4.73,4.16,8.15,4.93,8.73,3.55,0.00
7.08,6.50,7.22,7.81,3.74,8.85,8.53,0.00
11.30,7.25,9.70,8.40,8.84,7.63,3.67,0.00
8.70,7.94,6.08,7.17,3.87,9.08,7.32,0.00
10.72,6.94,8.64,5.02,5.51,8.59,6.93,0.00
8.85,5.35,7.74,9.24,4.56,9.08,4.47,0.00
12.72,5.76,7.10,8.96,8.28,8.44,7.63,0.00
4.57,4.95,8.70,6.25,5.49,7.90,6.69,0.00
9.18,5.90,7.14,9.15,5.76,10.18,5.35,0.00
6.67,4.29,5.69,8.43,4.13,9.00,4.87,0.00
4.20,4.33,7.01,7.66,4.12,9.46,8.13,0.00
4.31,6.61,6.79,6.62,3.98,7.86,8.02,0.00
4.14,5.89,4.22,9.27,6.84,8.63,3.94,0.00
5.47,3.86,8.85,8.13,9.55,6.56,6.92,1.00
3.98,8.49,6.80,8.25,8.68,9.38,6.72,1.00
10.45,6.08,4.19,8.70,3.94,8.64,6.57,0.00
7.54,7.97,8.92,8.22,5.22,8.21,6.64,0.00
9.93,4.65,10.73,9.43,6.90,8.14,6.71,1.00
8.72,7.48,7.04,8.95,4.26,8.47,5.65,0.00
9.11,9.00,10.55,8.26,4.30,7.22,4.83,0.00
8.79,7.62,9.41,8.52,4.28,8.32,6.36,0.00
4.26,6.96,9.17,10.41,7.60,8.46,5.72,1.00
