147495_at,26157_at,29940_at,375033_at,57639_at,8910_at,label
4.17,3.91,4.60,3.78,5.01,8.35,1.00
4.34,8.93,7.68,3.76,5.91,3.92,1.00
4.21,9.68,9.88,3.70,4.57,3.78,1.00
3.86,7.68,10.10,3.87,6.06,11.26,0.00
8.56,9.08,5.02,3.95,5.14,3.58,1.00
11.80,4.77,6.53,5.05,4.41,3.80,0.00
10.52,4.10,5.37,3.97,4.60,9.53,0.00
11.32,4.03,7.89,3.83,4.38,10.00,0.00
3.95,7.19,10.97,5.86,4.79,3.74,1.00
7.97,7.08,7.50,3.92,4.92,11.06,0.00
12.51,4.13,10.58,4.06,4.77,10.93,0.00
7.95,6.40,10.05,3.60,3.99,11.10,1.00
7.52,3.68,5.27,3.85,5.49,8.62,0.00
4.07,6.27,7.51,4.44,5.92,7.85,1.00
7.93,7.18,7.30,3.75,6.63,11.47,1.00
4.08,5.66,10.28,3.78,4.72,11.86,1.00
5.50,5.01,4.50,3.84,4.61,10.09,0.00
5.44,7.05,6.33,3.61,4.67,9.80,1.00
