154141_at,200150_at,23283_at,27445_at,3397_at,3487_at,400798_at,50865_at,55086_at,751071_at,79633_at,label
4.91,3.37,8.66,4.01,13.24,11.39,4.34,10.43,3.70,7.23,7.23,1.00
5.12,3.93,7.54,3.89,12.06,11.48,4.55,11.64,5.15,5.89,6.65,0.00
7.70,3.63,8.23,8.90,7.52,6.59,4.76,11.13,8.19,5.69,3.93,0.00
6.69,3.47,8.75,4.44,12.66,4.09,4.10,10.03,7.35,7.74,5.11,0.00
10.50,3.58,8.60,4.68,13.43,4.39,4.24,9.95,7.62,5.74,3.87,1.00
6.95,3.75,8.40,7.01,11.21,3.84,4.28,10.01,5.99,6.12,4.10,0.00
7.49,3.61,8.12,4.08,10.68,9.46,4.06,11.56,5.79,6.94,6.81,0.00
9.27,3.83,8.48,5.78,10.97,6.50,3.96,11.22,4.99,5.86,4.70,1.00
6.35,5.79,8.42,9.10,10.51,10.06,4.57,11.69,4.39,6.48,5.90,0.00
8.66,3.52,7.72,3.88,12.95,4.27,4.08,10.60,3.92,6.38,4.51,1.00
6.68,7.03,9.74,9.29,11.55,8.28,4.56,9.60,4.15,5.93,4.62,1.00
8.64,3.35,8.53,7.28,9.66,4.86,4.61,10.87,8.28,5.73,3.78,0.00
8.51,3.37,7.75,9.59,12.72,6.32,4.23,11.57,7.76,6.03,6.05,0.00
5.86,7.43,8.10,3.81,13.20,9.17,3.89,10.02,6.53,5.07,6.10,1.00
6.25,3.56,7.90,4.32,12.87,8.58,4.50,9.35,3.94,5.88,4.27,1.00
4.67,3.70,7.94,4.05,5.34,4.21,5.09,6.45,9.52,6.85,4.03,0.00
8.32,3.54,9.20,3.88,7.63,3.94,4.66,9.74,8.74,4.83,4.07,1.00
8.69,3.47,7.53,6.88,8.71,3.79,4.50,10.61,5.95,5.63,3.56,0.00
8.84,3.61,8.27,3.63,8.04,7.67,4.27,9.78,8.39,4.99,3.81,0.00
8.05,3.87,8.62,5.62,11.95,9.09,5.50,11.21,5.36,5.56,5.58,1.00
7.81,3.63,8.63,3.66,10.22,5.90,4.33,10.28,4.23,5.25,4.42,1.00
6.97,3.78,8.53,3.78,9.34,6.21,4.04,9.08,4.23,6.67,4.02,0.00
9.91,3.44,8.02,8.21,14.70,7.76,4.13,11.42,8.15,6.30,3.95,0.00
6.71,3.40,8.22,4.28,10.62,4.56,3.83,10.21,8.01,5.10,5.59,1.00
6.08,3.62,8.55,3.66,11.64,4.17,3.76,9.69,7.99,5.29,7.16,1.00
3.71,4.23,8.10,3.71,6.96,4.00,5.17,10.20,7.41,6.32,4.13,0.00
7.79,3.90,9.52,4.80,9.04,4.54,4.88,8.52,8.40,5.08,6.41,0.00
7.37,3.62,8.74,6.07,10.52,5.77,4.25,10.46,7.86,5.51,5.35,0.00
6.39,3.59,7.74,5.55,13.60,6.77,3.75,9.76,6.77,6.60,3.53,0.00
8.73,3.59,8.13,6.38,12.53,8.82,4.15,10.60,7.07,5.61,4.56,0.00
7.73,3.60,8.57,3.88,10.06,5.58,4.45,11.81,3.81,5.24,4.58,1.00
