23199_at,23312_at,29968_at,4013_at,7699_at,80183_at,9022_at,94121_at,9760_at,label
KIAA0182,DMXL2,PSAT1,VWA5A,ZNF140,KIAA0226L,CLIC3,SYTL4,TOX
ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846
8.86,8.07,11.33,7.21,7.84,4.23,3.89,3.76,3.88,1.00
8.59,7.15,10.12,5.51,7.81,3.94,4.47,4.75,3.66,0.00
10.97,9.22,8.33,7.21,8.28,3.99,3.77,3.84,8.44,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
10.73,4.80,10.36,10.34,7.92,4.17,4.23,5.87,6.64,0.00
9.72,8.32,11.96,6.13,6.73,3.70,7.77,4.30,4.42,1.00
8.94,8.95,10.91,5.95,6.65,3.77,3.92,5.38,6.33,0.00
8.53,8.57,12.11,6.50,8.65,3.97,8.98,3.83,3.60,0.00
8.11,8.36,12.74,5.65,8.54,4.20,4.10,4.14,4.62,0.00
8.97,8.37,11.16,5.41,8.15,3.91,3.59,3.60,3.85,1.00
10.20,9.53,9.81,6.12,6.70,4.32,3.66,3.68,7.65,1.00
8.66,8.50,10.48,6.85,7.81,3.91,4.18,4.34,3.75,0.00
8.07,9.35,10.89,6.31,7.71,3.96,11.71,3.62,6.94,1.00
8.90,8.54,12.64,6.77,8.76,4.06,4.04,3.91,3.70,1.00
7.24,8.01,10.77,6.97,8.22,4.17,3.54,3.79,8.51,1.00
10.40,10.46,9.38,5.40,8.30,3.96,7.67,5.84,3.62,0.00
9.63,8.77,9.16,6.63,8.33,6.35,11.17,6.39,3.97,0.00
8.93,9.38,12.53,6.06,8.29,11.11,3.80,4.46,6.30,1.00
9.28,5.00,10.66,8.28,7.59,3.92,4.15,4.21,3.71,0.00
9.28,9.85,12.23,7.69,8.62,8.88,3.57,4.11,3.80,1.00
9.27,10.40,8.20,6.38,7.84,12.03,3.73,3.86,3.76,0.00
