1365_at,144501_at,221120_at,23216_at,27345_at,2810_at,28231_at,4013_at,57613_at,64798_at,83468_at,84870_at,92745_at,label
5.48,9.85,9.35,6.99,5.73,6.83,8.72,5.30,7.27,6.53,6.05,3.72,4.79,0.00
4.07,5.25,8.99,6.17,6.94,6.30,4.82,7.03,6.37,8.39,10.86,5.57,6.92,1.00
4.03,5.82,9.09,6.88,5.69,5.99,4.28,7.35,5.83,5.03,10.51,4.42,5.32,1.00
3.99,4.94,8.95,6.05,6.20,6.61,8.81,6.70,7.86,5.77,4.24,4.11,4.72,0.00
4.01,5.24,4.23,6.29,11.34,6.86,6.95,5.92,5.69,10.48,4.64,3.89,4.56,0.00
11.15,5.24,8.97,6.46,4.92,12.24,8.57,6.09,6.07,10.52,4.15,3.95,4.35,1.00
3.75,4.85,8.25,6.14,8.06,5.74,7.42,5.19,8.77,6.07,4.73,3.72,8.36,1.00
3.75,4.75,9.09,6.94,5.00,5.89,7.72,7.04,6.02,7.48,6.14,3.46,4.61,1.00
6.76,7.73,8.74,6.27,9.70,10.28,5.40,6.46,8.08,10.33,9.48,3.94,4.13,1.00
3.82,11.85,9.66,6.52,5.07,9.36,8.29,5.52,6.51,5.22,4.69,3.73,4.28,1.00
4.26,10.59,7.61,6.70,5.48,12.21,7.99,7.70,6.20,4.83,6.80,5.46,4.62,0.00
8.38,5.20,7.91,5.73,7.44,8.32,6.67,5.23,6.09,7.89,4.43,3.83,4.78,0.00
4.00,9.98,9.21,6.35,6.07,8.58,7.21,5.86,6.33,4.96,6.07,4.50,4.41,0.00
3.87,4.92,6.47,5.87,7.20,8.73,5.21,5.82,6.58,7.25,4.44,3.93,4.68,1.00
3.85,5.18,4.45,6.46,5.75,12.79,4.63,5.69,6.63,5.24,7.41,3.77,4.41,1.00
4.17,5.21,7.23,7.93,8.90,6.19,6.03,5.44,7.40,5.10,4.57,4.04,5.06,0.00
4.01,9.12,9.05,6.80,5.28,12.48,11.22,5.94,7.83,5.11,5.02,3.76,7.89,1.00
3.74,4.91,10.33,8.06,8.60,6.46,7.33,6.74,8.60,6.82,4.42,3.58,7.24,1.00
3.91,4.61,9.41,6.44,5.96,6.86,6.24,6.05,5.19,7.59,4.24,3.72,7.43,1.00
3.93,7.03,10.09,4.54,4.74,7.12,9.40,8.57,7.64,5.08,4.60,4.14,5.90,0.00
3.97,5.00,9.35,6.17,7.93,9.71,8.54,5.80,8.05,10.99,4.56,3.72,9.88,0.00
4.05,5.19,8.75,8.06,5.07,6.57,5.64,5.47,8.44,4.81,4.29,3.72,8.47,1.00
