ENSG00000131149,ENSG00000104093,ENSG00000135069,ENSG00000110002,ENSG00000196387,ENSG00000102445,ENSG00000169583,ENSG00000102362,ENSG00000198846,label
7.99,4.27,8.72,3.85,6.79,3.25,6.85,5.08,2.89,1.00
7.60,4.87,7.04,4.07,6.46,2.84,5.32,4.68,3.08,0.00
7.22,4.10,8.42,3.55,6.88,3.10,3.00,3.38,2.84,0.00
6.65,4.23,8.34,3.75,5.65,3.22,2.62,3.10,2.93,0.00
7.43,3.49,8.29,3.28,6.64,3.26,3.18,3.12,3.63,0.00
7.09,3.85,8.19,3.74,6.06,3.06,4.14,4.20,3.35,0.00
6.75,4.57,9.62,3.07,7.90,3.08,3.06,3.71,3.17,0.00
8.69,3.40,10.62,4.75,7.14,3.01,3.03,3.41,3.07,0.00
9.47,4.04,9.41,3.91,7.40,3.35,3.00,3.08,6.58,0.00
6.54,3.50,10.34,4.04,6.54,3.75,2.85,3.23,3.27,0.00
7.98,4.31,10.20,3.09,9.27,3.14,3.04,3.10,3.26,0.00
5.83,4.65,9.73,3.83,3.41,3.14,2.86,3.28,2.76,0.00
10.01,3.50,8.30,3.92,7.70,3.18,3.33,3.78,5.23,0.00
8.73,4.15,9.22,3.01,6.85,3.13,2.86,3.47,3.96,0.00
6.06,4.86,9.85,3.23,5.28,4.55,2.70,4.08,2.88,0.00
6.54,3.33,6.90,3.34,5.27,8.24,3.17,3.30,2.92,0.00
3.52,2.74,8.84,3.09,6.56,3.32,2.94,5.17,6.16,0.00
8.79,3.47,9.42,3.17,6.64,3.23,2.95,4.69,2.93,0.00
7.45,4.56,9.70,5.30,3.90,3.99,3.09,3.11,3.06,0.00
8.52,3.16,9.65,3.16,7.76,7.40,2.80,3.26,4.47,0.00
10.87,4.71,8.61,3.62,6.68,3.00,3.20,3.17,2.85,0.00
6.56,3.74,9.92,3.37,7.86,4.24,2.66,3.41,3.31,0.00
8.07,4.49,7.94,3.33,7.12,6.87,3.13,3.20,3.28,0.00
10.11,4.55,9.72,3.20,6.03,3.06,2.71,3.58,4.24,1.00
10.08,4.34,8.68,6.77,6.88,3.40,3.01,3.41,5.30,0.00
7.13,3.86,9.72,3.77,7.20,3.33,2.53,3.34,2.91,0.00
7.95,6.86,9.70,3.30,6.47,3.42,2.79,3.92,3.12,0.00
8.26,5.64,9.10,4.08,6.09,3.17,2.58,3.36,2.90,0.00
