ENSG00000175183,ENSG00000170323,ENSG00000086205,ENSG00000154589,ENSG00000163083,ENSG00000100852,ENSG00000167191,ENSG00000082497,ENSG00000105497,ENSG00000116014,label
3.26,3.07,2.54,6.66,2.86,5.03,3.35,3.06,4.75,3.25,0.00
5.20,2.85,2.52,7.74,2.72,5.90,3.03,3.32,4.45,2.94,0.00
6.25,3.04,2.67,6.68,3.05,5.15,4.06,3.35,4.62,3.00,0.00
5.30,3.11,2.81,8.46,2.62,5.37,3.87,3.82,4.30,2.99,0.00
7.40,2.89,3.60,8.24,2.56,5.14,3.42,3.36,4.34,3.22,0.00
6.45,3.07,3.59,8.80,2.85,8.67,5.57,4.21,4.21,3.27,0.00
6.46,3.08,2.81,5.68,2.59,5.90,3.45,6.02,3.91,3.25,0.00
7.86,3.30,2.47,7.25,2.70,7.66,3.38,8.32,4.52,2.97,0.00
4.36,2.93,2.81,6.36,6.25,7.32,4.55,4.85,3.55,3.18,0.00
5.97,3.22,2.87,8.08,3.94,6.92,3.67,6.15,3.76,3.72,0.00
3.56,3.01,2.46,8.59,2.81,5.18,3.29,3.62,4.19,3.26,0.00
5.18,2.77,2.51,3.31,3.05,6.47,3.91,3.30,5.28,3.23,0.00
5.45,3.06,2.54,3.60,5.33,7.03,4.24,7.88,4.05,3.44,0.00
7.37,3.61,2.67,3.23,9.85,5.87,4.92,7.07,4.05,3.76,0.00
7.69,3.22,2.54,3.37,6.20,7.03,4.48,8.79,3.89,3.54,0.00
6.45,2.90,2.58,3.33,3.37,6.54,3.30,6.78,3.99,3.21,0.00
6.64,2.91,2.54,2.84,2.75,6.62,4.70,9.06,4.82,3.28,0.00
7.05,3.00,2.61,4.21,7.71,6.17,4.57,8.51,4.47,3.46,0.00
7.04,2.79,2.64,3.09,7.11,7.39,5.25,8.04,4.24,3.30,0.00
7.60,2.95,2.49,3.12,9.21,6.01,4.34,8.28,3.31,3.39,0.00
7.05,6.15,2.51,6.85,4.52,7.18,3.75,7.05,5.19,3.29,0.00
7.37,3.15,3.06,2.93,9.15,5.89,5.16,8.52,5.17,4.61,0.00
5.47,3.15,2.52,3.39,4.36,6.39,5.95,7.37,4.27,3.51,0.00
7.29,3.02,2.67,3.25,2.78,6.17,4.35,6.48,4.51,3.05,0.00
6.57,2.91,2.55,3.25,2.95,5.99,4.43,5.40,3.64,3.40,0.00
6.08,3.43,2.81,3.45,3.06,6.38,3.26,6.74,5.15,3.15,0.00
5.83,3.32,2.68,3.10,6.86,6.30,4.14,6.83,4.56,3.72,0.00
6.62,3.72,2.62,2.98,7.80,6.37,5.99,6.74,4.81,3.71,0.00
7.21,2.92,2.62,3.59,3.03,5.64,3.42,5.18,3.93,3.15,0.00
4.82,12.88,3.06,3.47,3.20,6.89,3.41,6.78,4.51,3.28,0.00
3.94,3.05,2.66,9.11,2.66,5.51,3.32,3.51,3.48,3.32,0.00
4.30,2.96,2.55,2.96,7.65,7.45,3.36,3.26,4.30,3.28,0.00
6.33,3.10,2.41,7.31,2.97,6.65,3.47,3.30,4.36,3.31,0.00
6.17,3.09,2.62,5.39,8.67,7.74,5.07,6.67,3.75,3.12,0.00
5.21,3.04,2.54,3.61,9.19,6.18,5.61,7.73,3.42,3.14,0.00
4.06,3.08,2.86,3.37,8.80,5.71,5.17,8.82,3.54,3.27,0.00
4.81,3.34,2.68,3.31,11.47,5.13,3.55,4.32,3.47,3.58,0.00
5.10,4.09,2.46,7.61,3.73,6.74,3.41,5.13,4.48,2.98,0.00
4.42,7.95,2.71,6.68,3.03,6.62,3.59,4.45,5.22,3.14,0.00
7.46,3.03,2.57,3.66,5.21,6.05,5.20,7.15,4.86,3.04,0.00
6.46,3.12,2.63,3.16,3.46,7.46,4.91,6.69,4.11,2.92,0.00
4.40,2.87,2.68,9.31,2.95,7.60,4.29,4.87,3.41,3.32,0.00
5.64,2.90,2.54,3.42,2.61,5.49,3.28,7.64,3.20,5.43,0.00
7.28,3.43,2.63,4.18,8.24,6.80,4.43,7.65,4.19,5.34,0.00
7.69,12.98,2.62,3.44,2.80,7.10,4.09,5.51,4.14,3.33,0.00
6.41,3.21,2.87,3.61,3.00,7.94,5.03,3.61,3.50,3.05,0.00
4.80,3.21,2.51,6.10,2.67,6.24,4.70,5.51,3.89,3.11,0.00
3.88,2.86,2.77,6.82,2.75,4.33,3.39,3.79,5.12,3.44,0.00
6.43,3.51,2.58,3.32,9.21,6.88,4.42,7.41,4.96,3.46,0.00
4.77,2.81,2.81,4.00,2.63,6.86,5.50,8.90,3.98,3.10,1.00
3.48,2.76,2.74,7.23,2.85,6.94,5.39,4.84,4.70,3.04,0.00
7.50,2.79,3.08,3.57,2.93,7.64,5.17,4.64,4.25,3.20,0.00
7.88,2.86,2.62,3.33,3.38,7.54,3.72,9.28,4.49,3.20,0.00
5.65,2.92,2.69,3.16,2.92,6.39,3.61,7.01,3.28,3.48,0.00
5.86,3.02,2.75,7.12,2.70,6.58,3.89,6.34,4.20,3.45,0.00
7.47,3.01,2.65,3.44,5.60,6.23,6.09,6.36,4.39,3.24,0.00
6.74,2.93,2.54,2.96,7.87,7.29,5.04,8.18,3.80,3.73,0.00
7.87,3.03,2.73,3.54,9.23,6.56,4.89,5.92,3.32,3.95,0.00
7.77,2.80,2.52,2.89,2.98,6.51,4.76,7.41,3.43,3.12,0.00
2.97,2.86,2.54,4.81,8.34,8.04,5.78,5.82,4.58,2.99,0.00
9.04,3.02,2.93,8.04,2.74,7.31,7.79,4.55,3.90,3.20,0.00
7.46,3.11,2.83,3.48,2.91,7.45,3.90,6.44,4.74,3.39,0.00
7.09,3.08,2.62,2.45,8.34,6.42,3.96,7.08,3.36,3.53,0.00
3.37,3.17,2.59,9.95,2.63,5.15,3.35,4.22,4.08,4.14,0.00
4.06,2.97,2.64,3.53,2.98,6.13,3.35,7.13,5.74,3.34,0.00
6.16,3.23,2.61,2.68,2.82,5.73,3.72,6.88,4.44,3.09,0.00
4.77,3.17,2.63,3.14,2.96,6.13,3.43,7.10,5.09,3.46,0.00
3.94,2.87,2.78,2.89,10.00,6.53,4.20,6.82,4.13,3.27,0.00
5.85,3.06,2.92,6.01,2.82,8.03,3.38,7.54,3.36,3.09,0.00
5.15,3.72,2.68,3.58,6.52,5.72,4.33,4.12,4.20,3.19,0.00
3.42,3.04,2.62,5.11,3.02,3.56,3.36,3.30,4.99,3.58,0.00
3.57,3.12,2.73,3.61,2.68,5.34,3.43,2.74,6.78,4.04,0.00
