ENSG00000163359,ENSG00000152661,ENSG00000129038,ENSG00000196611,ENSG00000113269,ENSG00000080823,ENSG00000127074,ENSG00000166510,ENSG00000142765,label
11.11,7.76,11.02,3.28,7.66,4.92,2.97,2.82,3.16,1.00
9.21,5.73,9.87,3.80,8.49,9.92,2.70,3.00,3.11,1.00
3.16,3.50,8.64,4.72,8.11,4.38,2.80,3.38,5.64,1.00
3.03,3.82,4.15,3.24,3.32,4.34,2.64,3.10,7.38,1.00
3.20,4.00,3.70,5.39,8.04,3.67,6.39,3.05,5.86,1.00
3.18,3.59,3.72,3.02,8.91,7.87,2.60,2.89,2.93,1.00
3.25,3.27,5.46,2.93,6.19,5.71,2.48,2.74,4.67,1.00
3.05,3.44,4.70,2.97,9.21,7.74,2.58,2.85,4.42,1.00
3.06,3.92,3.63,4.12,9.74,7.45,3.05,2.74,3.05,1.00
4.34,3.57,4.56,2.84,5.83,5.35,10.93,3.02,5.63,1.00
3.07,4.18,8.22,3.57,8.58,7.69,2.46,2.81,4.99,1.00
9.74,3.77,3.76,3.38,9.85,5.07,2.62,3.03,3.26,1.00
3.07,3.76,3.13,2.93,4.13,5.36,10.01,2.96,6.79,1.00
3.49,3.34,9.52,3.10,9.26,3.98,2.72,3.54,6.83,1.00
3.29,3.22,3.81,2.72,3.89,4.88,5.95,2.73,7.51,1.00
3.30,4.02,4.25,3.09,4.96,7.82,6.77,2.85,5.12,1.00
3.27,3.70,4.17,2.97,3.66,6.12,2.73,2.90,3.52,0.00
3.19,3.50,6.68,2.98,7.32,4.89,2.74,3.40,6.56,1.00
3.90,3.49,3.63,3.19,3.50,4.01,7.53,2.71,3.67,1.00
3.08,3.77,4.55,2.98,8.82,7.43,2.92,2.94,4.85,1.00
3.31,3.66,3.20,2.93,10.34,6.58,2.58,2.95,6.98,1.00
3.26,3.82,2.97,3.12,9.90,5.26,2.56,2.92,5.26,1.00
3.22,4.46,4.84,2.92,9.16,3.76,2.65,2.94,6.45,1.00
11.17,7.82,8.35,8.52,9.37,6.34,2.71,3.11,3.34,1.00
10.89,3.69,9.66,3.21,6.76,10.27,3.09,3.06,3.26,1.00
3.19,6.64,8.25,2.90,9.02,4.36,2.73,2.92,3.36,1.00
3.16,3.62,3.35,2.93,3.54,6.56,5.34,2.90,6.90,1.00
11.78,7.44,9.48,9.39,8.97,10.13,2.74,2.90,3.32,1.00
9.40,3.47,3.42,3.23,3.47,4.71,2.83,2.94,3.50,1.00
3.26,3.59,3.15,3.30,9.53,6.10,2.70,3.00,3.30,1.00
3.25,6.04,3.42,3.68,8.70,4.24,2.77,3.16,3.12,1.00
