ENSG00000170231,ENSG00000135069,ENSG00000137673,ENSG00000023892,ENSG00000085563,ENSG00000167766,ENSG00000177706,ENSG00000169902,ENSG00000072682,ENSG00000172716,label
4.03,7.57,4.10,6.48,5.87,6.72,3.73,4.34,3.31,6.13,0.00
3.93,9.08,2.76,2.97,2.99,8.40,5.71,5.40,4.32,10.10,1.00
3.47,9.43,2.86,2.69,2.73,7.61,3.85,4.45,6.79,7.86,0.00
3.70,7.48,2.77,3.48,3.13,7.08,8.70,6.70,9.66,7.97,0.00
3.68,8.71,9.68,3.79,6.12,8.56,10.63,6.33,9.06,7.99,0.00
8.54,6.21,11.39,4.97,3.16,7.78,3.38,5.81,8.47,3.77,0.00
4.21,6.85,7.34,5.85,3.77,8.21,3.43,3.33,7.15,4.09,0.00
3.56,6.90,2.81,3.22,2.88,8.77,7.59,6.01,9.40,4.91,0.00
3.68,8.30,2.80,2.99,2.93,9.09,3.33,6.10,4.91,2.85,0.00
4.74,9.23,2.66,3.29,3.19,9.06,7.01,5.58,5.85,4.58,0.00
3.73,9.76,2.86,2.63,3.09,3.10,6.05,5.25,8.78,3.29,0.00
3.45,7.69,3.00,3.54,2.82,8.61,3.33,5.91,5.37,6.83,0.00
5.26,7.38,2.91,3.81,3.49,7.74,6.67,5.36,5.06,3.33,0.00
5.32,8.99,2.97,3.13,2.86,8.21,3.46,5.18,7.09,2.90,0.00
4.71,8.05,3.03,2.92,2.81,6.47,3.47,5.05,7.40,2.91,0.00
4.14,8.00,7.92,3.31,3.27,9.32,5.08,7.05,9.20,8.03,0.00
9.00,9.68,2.91,3.14,3.16,7.07,5.87,5.71,6.06,3.18,0.00
4.18,8.41,2.80,3.69,3.18,6.65,8.88,6.65,9.47,3.50,0.00
3.61,8.91,9.09,3.14,3.23,8.62,8.86,6.08,8.44,3.25,0.00
3.52,7.52,4.24,5.68,3.08,8.38,5.64,5.13,7.81,7.74,0.00
3.73,8.62,6.31,3.54,2.99,8.92,7.03,6.34,8.16,4.92,0.00
3.30,7.32,11.48,3.78,3.22,7.38,7.31,4.45,7.63,6.84,0.00
4.03,6.81,3.08,2.94,3.13,6.66,6.05,3.90,9.12,3.24,0.00
5.06,8.95,8.08,4.85,2.90,8.94,7.99,5.95,10.20,7.26,0.00
3.89,6.12,2.99,4.31,3.10,7.66,10.39,8.00,10.81,6.36,1.00
8.48,6.11,4.04,3.87,5.71,9.50,5.68,6.55,10.60,6.12,0.00
8.01,8.70,2.86,3.36,3.12,7.79,7.52,5.68,7.38,2.97,0.00
6.78,8.49,2.79,7.11,2.98,8.68,3.67,5.14,3.02,8.09,0.00
7.38,8.50,5.29,2.74,5.85,9.34,7.91,6.89,10.45,6.52,0.00
6.28,9.26,4.19,3.71,3.55,7.66,6.53,5.70,9.06,6.93,0.00
6.35,9.99,2.80,2.81,2.80,9.06,3.22,6.24,6.38,2.69,0.00
3.27,8.72,2.83,4.19,3.01,8.10,6.80,5.04,6.69,7.59,0.00
8.19,7.55,8.94,3.90,7.05,6.51,4.37,6.18,9.43,8.38,0.00
7.12,9.19,6.51,2.91,7.59,2.83,7.19,5.79,9.45,5.92,1.00
3.56,7.99,2.94,3.46,3.09,4.65,3.65,6.57,6.94,3.20,0.00
4.09,9.24,3.03,3.55,3.12,7.96,6.13,5.32,7.17,3.01,0.00
3.87,9.95,2.90,3.08,3.09,7.11,7.08,6.27,10.04,2.76,0.00
4.20,7.67,2.91,3.17,3.24,7.48,8.97,6.91,9.65,6.79,0.00
4.31,7.99,7.34,2.84,4.69,8.56,6.94,6.62,7.05,6.61,0.00
3.75,9.35,2.72,3.05,3.20,9.07,3.31,6.56,8.89,7.99,0.00
4.67,8.96,11.13,3.51,3.21,7.44,9.32,7.55,9.84,3.64,0.00
4.88,8.28,11.64,3.68,2.80,7.43,7.40,5.36,8.56,5.04,0.00
3.86,8.36,2.98,3.38,4.70,3.88,7.57,7.70,8.89,4.01,0.00
4.48,8.51,2.81,3.55,3.17,5.20,3.28,4.94,6.90,2.84,0.00
4.03,6.52,7.19,5.95,3.26,8.96,5.96,4.55,7.91,6.79,0.00
3.79,8.86,3.33,4.97,4.50,7.61,8.05,6.57,9.34,2.79,0.00
5.16,7.14,2.97,5.75,3.09,5.96,3.61,6.24,9.26,3.63,0.00
4.19,8.82,3.32,4.38,2.89,5.91,7.07,6.91,10.32,2.71,0.00
3.66,9.14,3.09,6.73,3.08,7.92,5.67,3.21,3.04,8.15,0.00
3.86,9.55,3.10,5.92,3.77,8.19,3.59,3.44,8.22,2.97,0.00
3.72,9.31,3.03,7.37,2.90,8.54,3.93,3.09,3.03,7.82,0.00
4.83,8.07,2.96,7.67,3.16,8.35,3.87,3.29,2.90,8.59,0.00
3.91,9.50,2.95,5.28,3.04,7.92,3.97,4.13,7.63,2.82,0.00
3.13,4.91,3.09,5.80,2.80,3.43,3.46,4.76,7.41,7.81,0.00
3.86,7.65,3.36,3.35,3.31,9.23,6.65,6.11,9.26,2.90,1.00
3.95,8.72,12.11,2.91,3.10,7.10,8.49,5.78,8.88,2.98,1.00
4.26,7.04,2.84,3.85,3.01,7.98,9.58,6.89,10.53,7.70,0.00
3.48,8.42,2.73,3.06,2.93,3.00,3.41,5.59,9.26,5.55,0.00
3.32,8.34,3.10,4.79,2.92,5.06,5.73,7.64,8.96,4.46,0.00
7.48,8.29,3.44,2.55,4.00,8.57,9.50,7.55,11.31,6.88,0.00
3.34,8.21,4.25,2.89,3.70,6.70,3.48,6.76,9.80,2.75,0.00
3.30,8.19,4.44,2.98,3.13,8.90,10.95,7.84,11.02,7.25,0.00
3.29,7.18,3.00,2.82,2.95,7.80,10.00,8.39,11.87,7.35,0.00
3.63,8.94,2.91,2.88,2.95,7.71,8.28,6.53,9.42,8.31,0.00
5.20,9.62,3.13,3.29,3.27,9.13,3.76,3.33,8.28,2.98,0.00
8.82,10.20,7.54,2.94,2.87,6.92,4.07,4.60,7.95,2.75,0.00
3.28,10.62,3.22,3.16,2.96,9.27,10.46,7.56,11.75,6.37,0.00
3.64,9.41,2.93,8.00,3.27,8.97,3.70,3.40,2.92,6.22,0.00
4.53,10.34,3.19,5.27,4.67,7.62,3.64,4.13,5.54,7.38,0.00
3.68,7.65,3.45,5.05,2.96,2.98,7.49,6.32,10.70,4.12,0.00
3.48,10.20,2.97,6.83,3.05,8.74,8.10,5.71,5.82,8.30,0.00
5.61,9.73,8.04,2.90,3.11,3.29,5.83,6.55,9.41,3.05,0.00
