ENSG00000075213,ENSG00000114771,ENSG00000112137,ENSG00000185022,ENSG00000115461,ENSG00000221968,ENSG00000152952,ENSG00000087253,ENSG00000101311,ENSG00000151692,label
3.41,3.01,3.75,3.65,3.45,5.54,3.15,3.19,3.78,4.71,0.00
7.27,4.53,3.08,4.21,3.09,6.24,8.21,4.60,7.63,3.49,0.00
3.25,3.24,3.07,3.93,3.08,7.28,10.59,3.70,5.81,3.61,1.00
3.47,3.23,4.52,3.85,3.38,4.37,2.95,7.72,3.51,4.73,0.00
5.17,5.40,3.07,4.66,3.09,6.07,9.55,6.40,8.32,3.49,0.00
3.53,2.80,4.17,4.09,3.35,7.73,3.43,4.61,3.56,4.39,0.00
3.08,3.03,3.20,3.88,3.14,9.82,11.44,4.12,3.56,4.11,1.00
3.35,3.20,3.41,3.65,6.34,5.67,9.46,3.36,4.82,3.43,1.00
6.84,9.45,3.06,3.77,3.38,6.06,10.35,3.83,5.28,3.82,0.00
3.33,3.22,3.07,4.32,3.21,5.95,9.30,3.54,3.75,4.81,1.00
5.37,3.05,3.50,4.69,3.11,5.56,8.98,4.07,3.14,7.07,0.00
4.09,3.40,5.56,5.02,3.49,5.45,7.25,4.15,3.79,6.07,0.00
4.51,3.00,6.13,6.78,3.07,5.55,8.23,4.42,4.59,5.81,0.00
4.93,2.88,2.91,6.00,10.31,8.76,11.11,4.70,4.43,3.51,0.00
3.13,3.06,3.26,4.16,3.09,4.04,6.72,4.03,8.36,3.55,0.00
8.75,3.21,3.36,4.30,3.45,7.83,5.73,3.90,8.15,3.49,0.00
6.43,3.23,3.27,4.05,3.48,5.15,7.19,4.41,4.91,3.51,1.00
8.75,3.52,3.10,3.78,6.39,6.43,8.95,4.54,5.98,4.08,0.00
6.11,3.91,3.26,3.93,7.58,6.23,11.85,5.16,3.97,3.86,0.00
4.78,3.09,4.80,4.57,3.16,6.22,9.46,4.47,4.89,4.67,0.00
3.30,3.33,5.87,4.49,4.11,7.10,7.89,4.81,2.90,6.52,0.00
6.00,2.97,4.20,4.38,3.99,7.39,10.93,6.76,4.56,4.58,0.00
7.85,2.94,3.86,3.93,3.71,8.56,10.46,3.99,4.26,3.53,1.00
3.57,3.01,3.47,4.18,6.30,7.82,9.97,4.75,4.01,3.73,0.00
5.11,3.92,3.12,3.92,3.26,6.71,9.91,4.78,6.13,4.27,0.00
3.25,2.99,3.23,3.69,3.12,5.93,2.85,3.19,3.35,5.86,1.00
5.63,3.09,3.67,3.75,3.43,6.11,8.58,3.16,3.83,4.47,1.00
3.24,3.07,2.92,3.77,3.32,5.76,3.07,3.21,6.52,3.56,0.00
7.17,3.03,3.15,4.04,3.27,4.83,8.58,6.68,4.88,5.25,0.00
7.73,2.95,3.59,5.29,4.75,5.82,11.40,5.51,4.94,4.09,0.00
6.39,3.10,3.00,4.17,3.08,6.84,10.04,3.22,6.43,3.46,0.00
4.60,2.89,4.80,5.73,3.07,6.14,9.77,4.79,3.41,4.47,0.00
4.53,3.17,3.24,4.23,3.25,6.19,6.41,3.04,3.42,3.47,1.00
3.19,2.96,3.64,3.44,10.07,5.03,9.30,3.14,5.50,5.25,1.00
3.18,3.22,2.93,4.62,3.06,5.31,8.33,3.00,5.62,4.81,1.00
3.91,3.11,5.18,5.11,3.02,5.41,9.15,4.74,3.92,5.11,0.00
3.82,3.00,8.59,3.90,3.11,5.60,8.96,6.92,3.40,5.77,0.00
