ENSG00000154639,ENSG00000151012,ENSG00000175591,ENSG00000102595,ENSG00000142765,ENSG00000171004,ENSG00000128512,label
4.12,8.56,3.48,3.91,6.83,4.41,3.75,0.00
3.83,8.33,3.28,4.62,7.51,3.42,4.45,0.00
4.17,8.00,3.09,3.83,5.12,3.52,3.83,0.00
4.17,7.78,6.45,4.76,3.52,3.25,3.97,1.00
6.25,8.48,2.92,3.05,6.56,3.06,5.83,0.00
2.99,7.77,3.04,4.08,3.67,3.24,3.81,0.00
3.16,7.05,7.06,3.82,4.85,3.13,3.37,0.00
3.41,7.43,7.70,4.38,6.98,3.27,3.87,0.00
3.14,4.46,3.20,2.81,6.45,3.05,4.43,0.00
3.09,4.58,3.03,4.96,3.26,2.98,3.95,0.00
3.93,6.08,3.12,4.31,3.36,4.45,4.39,0.00
2.64,7.34,3.09,4.65,6.90,3.05,3.31,0.00
3.42,4.91,3.24,2.97,7.93,3.08,3.44,0.00
2.88,5.61,2.94,4.87,4.14,3.09,3.40,0.00
2.65,6.70,3.03,5.39,3.32,3.14,7.04,0.00
3.07,7.46,4.70,3.58,4.10,3.30,3.61,0.00
3.52,5.14,3.17,3.34,3.50,3.48,3.68,0.00
3.07,6.89,2.84,4.53,3.30,4.57,4.23,0.00
6.30,6.81,2.83,3.70,3.44,4.79,4.23,0.00
3.24,6.61,3.97,4.44,4.37,3.41,3.93,0.00
3.91,7.25,2.93,3.81,6.61,3.24,3.67,0.00
2.84,5.58,3.18,2.77,3.13,2.88,3.25,0.00
3.33,8.64,3.15,3.66,5.81,3.08,3.63,0.00
4.34,5.41,3.05,3.93,3.22,2.89,3.87,0.00
4.43,4.80,3.18,2.92,3.71,3.38,3.43,0.00
4.63,5.61,2.98,4.05,3.14,7.16,3.47,0.00
3.25,6.88,3.19,4.03,5.66,3.17,3.60,0.00
3.14,4.62,3.89,2.71,5.45,3.28,3.66,0.00
3.08,4.45,3.04,2.81,6.41,3.00,3.14,0.00
3.10,5.35,3.03,3.22,6.26,3.08,3.44,0.00
