144501_at,148641_at,1846_at,200150_at,22882_at,23283_at,23767_at,26751_at,2731_at,27445_at,285148_at,285735_at,301_at,3248_at,3487_at,3861_at,3958_at,400798_at,4118_at,50810_at,50865_at,5327_at,55086_at,55353_at,5577_at,55959_at,5644_at,56952_at,5711_at,64073_at,65982_at,6624_at,79633_at,79772_at,84189_at,84525_at,84677_at,85236_at,875_at,89944_at,label
9.47,5.78,11.22,3.44,6.73,8.76,7.20,12.20,6.38,4.26,10.80,4.16,12.23,6.82,9.48,5.16,13.16,4.68,5.54,10.23,10.04,5.07,4.14,11.05,5.77,5.85,3.94,11.35,9.26,11.99,7.80,9.39,4.07,4.12,7.95,4.07,4.24,13.56,7.29,5.00,1.00
9.90,7.30,9.84,3.47,7.83,7.18,7.58,10.36,4.89,4.67,10.41,3.82,12.88,6.50,8.51,8.69,13.10,3.66,12.65,9.75,10.85,8.15,5.56,12.29,10.38,9.81,4.56,10.09,9.40,6.71,8.68,7.39,3.81,3.95,8.33,4.26,3.79,13.34,7.99,5.13,1.00
10.01,6.89,7.44,3.55,6.71,8.19,4.40,8.57,4.61,4.69,11.04,3.79,13.38,4.13,11.17,9.05,13.11,4.00,4.69,10.02,11.65,9.58,6.36,10.49,6.96,3.81,4.09,9.18,9.38,12.31,7.90,10.44,7.62,7.47,3.92,5.18,3.74,10.71,5.04,5.45,0.00
8.35,4.46,9.50,4.45,8.54,8.35,8.50,11.17,6.71,5.15,8.89,8.20,12.81,5.35,7.02,4.83,13.23,4.23,4.40,9.68,7.68,9.29,5.63,11.52,6.26,8.56,4.57,9.40,8.20,10.75,8.37,4.67,5.12,8.67,3.79,4.38,3.46,11.36,8.14,8.36,1.00
9.13,4.14,6.50,3.66,8.10,8.71,4.87,10.47,5.59,6.24,10.55,3.79,4.29,4.35,8.35,4.70,12.91,5.45,4.76,8.83,10.77,3.98,7.82,12.18,6.43,4.97,4.08,3.69,9.43,10.90,7.87,5.04,4.12,5.64,8.97,9.42,4.07,13.62,7.00,6.76,0.00
9.80,8.42,8.85,3.50,8.55,8.31,9.27,10.82,4.41,4.31,10.28,4.65,12.64,4.43,7.19,3.70,14.12,5.59,4.70,10.16,9.24,12.42,4.89,11.83,3.96,9.05,4.02,10.58,8.04,12.32,7.71,5.85,4.80,7.81,3.99,4.13,3.90,11.10,6.75,10.07,1.00
4.82,3.88,4.22,3.53,6.05,8.73,4.26,12.18,6.05,3.73,9.63,3.72,6.71,4.50,7.25,4.00,13.84,4.53,4.50,3.94,10.02,3.89,4.54,11.64,4.20,3.91,4.06,8.96,8.76,7.49,4.61,6.02,3.61,4.68,3.88,3.79,3.82,11.47,7.35,8.70,1.00
8.08,5.99,5.30,3.83,6.03,9.01,9.46,8.54,8.68,4.29,10.46,3.97,13.13,4.44,9.51,3.73,13.27,4.38,4.41,9.66,9.51,11.89,3.95,12.23,9.26,9.84,4.25,6.68,8.61,3.87,8.54,9.17,6.58,5.10,12.87,7.13,3.68,9.23,9.32,8.71,1.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.44,4.14,12.26,3.66,5.07,9.01,9.71,9.77,7.15,6.15,10.65,8.74,12.91,5.87,6.17,4.12,14.30,4.61,4.42,8.50,10.96,11.61,8.53,12.04,10.10,3.59,4.11,4.65,8.60,4.00,3.81,7.77,4.77,7.03,4.02,4.13,3.99,10.74,6.90,4.88,0.00
9.65,4.32,11.31,3.79,8.16,7.67,6.55,10.64,4.51,3.87,7.51,4.09,9.14,3.85,9.20,6.08,12.83,4.22,4.82,8.37,10.49,13.66,5.98,12.05,6.46,10.81,6.63,9.74,9.24,11.76,8.05,9.27,4.03,5.35,3.92,3.84,3.89,12.88,7.99,7.31,0.00
5.64,5.45,5.18,3.49,7.98,7.62,4.46,8.90,5.07,5.34,9.19,4.13,13.18,3.84,9.91,5.23,11.66,3.84,4.57,10.14,9.15,8.94,4.28,11.84,8.88,6.02,4.05,7.05,9.72,4.94,7.17,9.70,4.34,6.65,3.93,4.20,4.11,12.22,6.23,7.53,0.00
5.00,3.87,6.86,3.51,6.39,7.44,4.54,9.83,4.57,4.74,10.74,4.06,13.80,4.04,8.54,4.15,12.64,4.07,4.27,9.69,10.22,9.47,7.41,10.76,7.40,4.61,4.29,8.00,8.88,4.49,9.03,9.40,8.81,5.57,4.35,7.54,3.77,11.39,7.51,4.87,0.00
4.29,4.30,4.78,3.71,4.93,5.16,8.12,8.89,7.49,7.20,10.71,3.77,5.06,4.08,7.26,3.76,9.91,4.35,5.60,10.36,12.31,3.84,3.67,11.89,9.93,4.84,4.16,11.54,8.40,3.86,10.01,7.77,4.83,5.00,9.06,4.13,9.83,11.39,10.31,7.85,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.92,4.00,4.66,3.74,10.11,7.34,7.88,8.13,5.31,3.92,8.49,3.89,5.02,4.73,4.02,4.19,4.03,5.56,4.30,4.45,6.04,3.73,7.74,3.71,12.19,3.72,4.70,4.32,8.06,3.82,4.14,4.83,3.75,7.97,4.08,9.23,3.94,9.87,4.38,4.64,0.00
4.73,7.88,9.22,3.79,6.14,8.79,4.25,8.74,4.74,3.76,9.76,3.69,10.70,4.19,4.49,3.73,5.58,4.57,4.56,4.22,9.57,3.92,6.67,12.42,7.37,3.80,4.25,4.13,8.40,3.34,7.73,6.40,4.24,9.98,3.73,4.20,3.93,9.54,8.91,5.69,1.00
7.58,4.04,8.31,3.94,5.67,8.91,4.55,8.49,4.60,4.48,9.99,5.85,12.02,3.99,4.77,4.05,10.98,4.41,4.83,9.69,11.05,12.23,7.54,12.14,8.40,3.71,4.21,4.96,8.61,4.63,4.27,8.08,7.30,7.00,3.95,11.69,8.58,9.89,7.14,4.78,0.00
10.73,6.29,10.31,3.64,6.80,8.18,4.35,8.21,6.84,5.02,10.78,3.99,12.64,3.89,8.95,5.23,11.67,5.61,5.23,9.38,10.25,6.80,4.07,11.48,4.26,6.30,3.90,8.89,9.02,8.84,7.45,8.79,6.01,7.47,3.98,4.72,3.82,5.16,5.03,6.45,1.00
4.95,4.09,4.10,3.47,5.27,8.09,4.09,9.18,5.22,3.69,4.47,3.94,11.70,9.83,7.12,4.38,7.42,3.78,4.72,10.14,13.16,3.89,4.21,12.56,12.51,3.69,4.16,9.61,8.22,3.79,4.95,8.61,4.03,4.26,6.69,3.87,3.44,13.20,10.03,6.43,0.00
9.94,4.38,4.79,3.76,9.18,8.29,4.41,10.96,8.33,4.75,9.99,4.02,12.59,4.66,7.16,11.52,13.31,4.57,4.82,9.28,9.91,7.97,4.94,12.25,6.89,7.62,4.18,4.55,9.11,10.57,4.33,8.91,3.95,5.07,4.33,4.04,3.88,10.86,7.34,5.59,1.00
6.34,4.65,4.36,3.78,6.80,8.70,8.85,8.33,8.11,5.00,9.63,3.86,9.95,4.50,6.67,4.09,10.12,4.42,12.23,9.13,10.82,4.61,5.80,13.17,8.47,3.76,4.23,8.64,8.21,4.96,6.90,5.50,4.87,8.38,3.93,4.11,9.56,4.41,9.20,8.65,1.00
8.76,3.95,9.47,3.63,5.08,7.77,3.91,7.47,5.66,7.26,9.61,4.38,13.05,3.77,6.53,4.11,12.37,4.15,4.25,10.15,10.28,7.03,6.87,11.21,9.25,4.58,3.94,6.41,8.75,3.76,7.76,7.12,5.37,9.40,3.65,8.71,3.97,11.83,6.49,5.63,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.97,4.02,4.74,3.57,9.77,8.62,4.48,8.12,5.60,3.58,9.84,3.68,4.14,4.08,5.80,4.15,9.72,5.28,5.12,10.24,4.51,3.80,3.72,4.38,4.84,6.10,4.38,5.77,8.12,3.43,8.45,5.29,3.77,9.04,3.93,4.11,4.18,10.66,8.86,4.20,1.00
8.47,4.41,6.33,3.55,8.78,8.14,4.78,10.07,6.40,6.36,9.86,4.02,9.22,6.42,6.39,5.20,5.03,4.19,4.47,7.93,10.93,3.78,4.15,12.46,7.02,3.80,4.30,6.20,8.97,4.10,10.13,9.52,4.16,4.21,7.57,4.30,5.62,12.35,9.80,7.70,0.00
7.30,6.62,8.68,3.45,7.73,8.57,7.59,6.62,5.49,5.37,10.53,4.00,12.15,3.89,4.14,13.57,7.46,3.88,4.54,9.24,10.71,4.29,7.97,11.63,7.36,10.30,3.98,4.55,8.41,3.98,9.00,9.09,6.57,7.08,6.74,5.00,3.70,12.72,7.20,6.99,1.00
5.89,5.02,5.63,3.49,7.31,7.59,8.79,11.56,4.77,6.22,9.51,3.85,12.99,8.29,8.53,13.52,11.31,4.63,4.36,8.08,10.92,9.29,7.99,11.82,5.69,4.84,4.18,3.86,8.87,11.35,7.90,9.93,4.54,9.00,7.84,4.24,10.18,12.10,8.06,8.48,1.00
