10553_at,10628_at,10966_at,130576_at,132720_at,1525_at,154796_at,157285_at,163081_at,2172_at,2706_at,290_at,29968_at,3880_at,3936_at,4237_at,4316_at,4846_at,4998_at,5243_at,5746_at,6502_at,7306_at,79710_at,8460_at,84617_at,84740_at,8612_at,91607_at,91851_at,label
9.77,6.68,8.86,4.45,7.78,8.74,8.66,9.83,7.78,4.85,6.13,3.71,9.61,14.01,9.52,5.01,12.00,4.20,6.97,4.88,4.32,6.23,3.91,8.79,6.27,9.54,6.33,9.61,8.31,4.27,0.00
9.11,8.18,7.12,11.41,9.41,8.36,7.15,10.13,7.33,5.92,6.49,5.63,10.82,10.53,4.83,9.12,4.27,8.10,7.40,4.20,4.51,7.07,3.77,7.56,8.06,11.21,3.91,8.73,3.37,4.42,1.00
9.35,10.16,5.73,4.17,8.59,7.91,8.27,9.39,7.03,5.60,11.89,3.67,9.23,14.18,5.25,4.63,12.34,4.84,6.21,4.08,4.19,7.20,3.94,6.89,6.73,10.72,8.16,10.25,3.77,4.43,0.00
6.47,9.01,8.17,9.09,3.63,5.86,9.79,9.67,7.29,4.70,7.60,3.69,9.82,3.65,5.85,8.07,8.31,4.32,5.27,3.78,3.97,5.00,6.76,8.01,9.66,12.06,4.04,7.16,4.32,4.75,0.00
9.45,10.36,9.37,4.92,6.04,10.53,9.87,8.58,8.26,4.16,9.67,5.22,11.48,10.72,5.53,7.49,4.19,6.31,8.66,11.44,8.00,7.36,3.87,8.25,5.85,7.59,3.85,11.11,3.78,4.20,0.00
7.50,9.58,5.31,4.78,10.75,4.74,7.10,10.23,8.61,9.19,4.27,3.83,5.31,4.32,12.15,5.08,4.52,4.30,9.19,3.97,4.37,6.83,4.03,7.43,5.06,4.40,4.19,3.60,6.84,4.63,1.00
10.67,9.56,9.15,5.53,8.96,5.01,9.86,9.36,6.97,7.61,12.61,3.91,11.45,12.78,5.44,5.15,4.58,5.08,7.80,3.98,4.30,8.06,3.86,8.81,4.35,4.06,9.48,10.14,3.85,4.30,1.00
8.50,9.67,8.97,5.07,11.63,7.95,10.50,5.84,7.48,5.02,4.55,3.62,11.79,3.92,5.53,9.83,4.13,4.11,7.18,11.85,4.38,8.66,4.03,10.08,6.87,9.16,3.81,4.75,3.55,4.25,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
8.83,11.54,8.82,10.86,5.44,7.86,12.82,11.39,7.43,4.56,6.25,3.74,9.73,14.28,5.42,4.44,4.20,4.09,6.74,4.90,4.48,8.61,3.69,9.99,6.01,6.32,4.19,9.37,3.77,4.24,0.00
